"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"City Center","North Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",270,50000,49950,55000,47000,46300,49450,49900,49450,49000,47300,45600,45300,44950,49000,49950,45000,42900,45000,50000,54450,57950,56900,59000,60000,60000,65000,69000,65000,60000,60000,59900,59950,59999,59000,55000,55000,59949.5,65000,65000,72000,74900,71950,70900,68500,69900,69950,72000,74959,72700,73750,79450,76000,79950,79950,79950,79900,79900,79950,80000,80000,82444,85000,86000,80000,80000,80000,79900,80000,80000,82944,95000,98250,98500,99500,99500,98750,99900,99000,104950,98500,99700,99950,105000,103000,1e+05,104900,110000,110000,110000,110000,110000,110000,111050,115000,115000,117885,117885,117885,119000,119000,118385,113000,114000,112500,115000,116999,112000
"East Ukrainian Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",271,434450,449450,444450,425000,425000,419500,416500,424900,427900,429250,422500,402400,401950,385000,385000,374900,392400,385000,377000,399000,399000,399000,399000,399000,385000,399000,399000,399000,399000,394500,372450,354000,389000,394000,399000,399000,424500,377000,439000,425000,439900,434000,439900,439000,446950,449000,455000,409000,425000,417500,444900,453500,464900,462400,499000,444500,429000,455000,469900,469950,449000,459000,449000,475000,477000,474950,474950,495000,499000,499947.5,525000,499995,525000,539450,544900,549900,539900,520000,515000,529500,529500,544450,549950,549900,539000,529000,548000,539000,549900,539000,549500,557450,539000,549450,517450,539000,607000,599900,604900,575000,555920.5,557450,547500,538950,565000,550000,550000
"Business District","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601500,543000,598000,538000,597000,544950,580000,597500,599950,639900,639900,675000,665000,653500,625000,621450,634444,639900,614999,634900,619000,618000,599900,599000,615000,639000,625000,625000,625000,625000,623000,618000,611995,625000,634500,651500,679000,695000,699900,671500,681500,639900,690000,717000,679900,689500,739000,664950,664950,669900,661400,685000,728500,793000,749999.5,719000,729950,709944,699000
"Old Town Triangle","Chicago","IL","Chicago-Naperville-Elgin","Cook County",273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399450,367500,394000,349500,389000,379000,347500,325000,325000,349000,310000,325000,329000,382000,359000,380000,375000,372450,380000
"Central Downtown","Lexington","KY","Lexington-Fayette","Fayette County",274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272400,284900,299900,294450,299900,289900,277450,302500,339000,339000,339450,299900,319450,291950,279900,279900,289900,299900,278200,274500,269900,264900
"Old City","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",275,385000,378000,375000,389750,378500,379000,389900,399900,394694.5,390000,385000,394450,369000,398000,393950,338950,349250,339000,339450,349950,375000,349450,382450,382450,372450,389900,380000,349500,354500,339450,339450,334500,330000,327450,339900,330000,325000,339900,349000,335000,337000,358000,359900,359900,359900,347000,369000,325000,335000,339950,325000,325000,335000,350000,366500,350000,337450,344450,349500,350000,339950,326300,349900,339900,379900,394900,425450,425000,415000,402950,389899,375000,365000,365000,364950,357500,355000,360000,350000,384900,379450,387400,387499.5,399450,399900,384950,385000,377450,360000,339999,339999,365000,379200,388500,394900,332499.5,367500,345000,339949.5,382000,380000,338500,339000,329450,324975,324925,349950
"Sea Pines","Hilton Head Island","SC","Hilton Head Island-Bluffton-Beaufort","Beaufort County",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,319000,312000,315950,338250,306000,306000,310999.5,3e+05,3e+05,3e+05,306000,319000,319000,296000,309000,309000,298450,309000,319000,320000,304000,314000,304000,299000,309000,319000,325450,322000,324000,324999.5,332000,329000,337000,349000,339000,329250,359900,348500,344000,349000,349000,357000,364950,372000,379000,359900,369950,369950,379500,373500,373500,369000,358000,359450,359000,365000,354450,352450,352450,344450,344000,359450,417450,410000,414500,417250,419000,410000,399000,420000
"West Loop Gate","Chicago","IL","Chicago-Naperville-Elgin","Cook County",277,279450,279000,282000,289900,279900,289000,280000,279900,279950,274900,274900,274900,269450,264900,268450,255900,249900,252412.5,245850,229900,242900,240400,242900,244350,245900,249900,259900,289000,292450,265000,269000,264950,265000,272500,275000,269950,277000,294900,299000,292400,289900,319900,322500,319900,314900,309950,314900,309950,315000,315000,299900,305000,277450,305000,299000,299000,299700,299900,299000,299450,302450,314500,299900,314700,299000,299000,3e+05,3e+05,299999,294950,295000,289000,287000,289900,317500,325000,349950,315000,299900,299900,317500,326000,339900,340000,362450,350000,335000,352450,354900,341469,346950,349900,350000,349900,356231,343900,334000,324500,319500,339950,385000,375000,375000,380000,389200,388500,352450
"Northern Liberties","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,444000,443950,419000,419900,430000,404900,379450,404450,414500,414000,411370,430450,419900,436630,436630,440000,424640,421370,421370,399850,400100,406950,389000,387000,385000,387450,389900,385000
"Goose Hollow","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391450,375000,360000,375000,375000,379900,389500,424900,429000,4e+05,4e+05,350000,349250,372000,399900,399900,405000,402500,406000,379000,385000,387000,384000,379000,379900,380000,382450,380000,365000,362550,360000,362500
