"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695,1625,1787.5,1800,1922.5,2175,1862.5,1812.5,1800,1713,1672.5,1700,1697.5,1647.5,1600,1750,1800,1850,1900,1795,1695,1885
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,,1300,1325,1372.5,1500,1500,1450,1495,1450,1450,1395,1300,1395,1400,1395,1395,1375,1375,1350,1350,1350,1350,1350,1362.5,1395,1400,1400,1400,1400,1377.5,1396.5,1475,1497.5,1495,1450,1475,1435,1449,1450,1450,1450,1400,1400,1400,1437.5,1395,1450,1398.5,1375,1400,1450,1495,1450,1500,1495,1492.5,1500,1440,1450,1450,1400,1450,1515,1550,1530,1499,1497.5,1498,1500,1425,1550,1450,1595,1550,1550,1617.5,1650,1600,1600,1600,1650,1600,1600,1595,1600,1637.5,1697.5,1600,1600,1650,1650,1700,1707.5,1757.5
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,1050,1000,982.5,1000,1000,1000,1000,950,977.5,1050,1075,1100,1100,1100,1100,1050,995,1000,999,1095,1100,1099,1099,1050,1067.5,1060,1125,1150,1100,1100,1095,1095,1100,1100,1150,1150,1150,1137.5,1100,1100,1150,1150,1100,1125,1100,1100,1149,1200,1200,1192.5,1192.5,1175,1150,1150,1100,1150,1197.5,1195,1200,1177.5,1195,1195,1150,1200,1200,1175,1235,1200,1200,1275,1260,1260,1295,1300,1300,1297,1295,1275,1270,1300,1300,1300,1300,1300,1349.5,1360,1395,1350
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,,,,,1450,1400,1485,1500,1495,1495,1495,1450,1450,1362.5,1350,1395,1395,1400,1395,1385,1362.5,1350,1300,1300,1350,1350,1375,1450,1462.5,1400,1390,1375,1395,1395,1395,1397.5,1395,1400,1400,1400,1450,1442.5,1400,1400,1447.5,1400,1400,1450,1495,1497.5,1450,1497,1490,1475,1495,1498.5,1450,1450,1495,1450,1495,1500,1550,1499.5,1550,1600,1550,1495,1497,1550,1500,1495,1492.5,1500,1600,1640,1600,1650,1650,1695,1650,1650,1650,1650,1690,1700,1750,1700,1695,1732.5,1700,1700,1695,1700
"Washington Heights","New York","NY","New York-Newark-Jersey City","New York County",5,,,,,,,,,,,,,,,2547.5,2600,2672.5,2697.5,2672.5,2750,2725,2672.5,2600,2697.5,2695,2750,2700,2700,2700,2672.5,2797.5,2800,2797.5,2750,2800,2700,2895,2900,2900,2950,3000,3000,3000,3000,2850,2999.5,2995,2951.5,3000,2997,3000,3000,2964,2900,3000,3195,3147.5,2999.5,2999,3000,3100,3200,3157.5,3250,3200,3150,3250,3250,3000,2972.5,3083,2939.5,3000,3041.5,3000,3070,3150,3250,3300,3400,3300,3200,3000,2997,2999,3175,3150,3050,3391,3300,3300,3472.5,3390,3204
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3200,3200,3250,3300,3200,3200,3200,3197.5,3200,3100,3100,3100,3149,3200,3299.5,3395,3395,3350,3300,3300,3275,3200,3200,3200,3200,3200,3350,3499,3500,3450,3499,3400,3450,3400,3300,3300,3500,3600,3600,3665,3600,3800,3650,3395,3350,3496.5,3450,3450,3400,3425,3500,3540,3499,3399,3399,3375,3550,3550,3400,3500,3575,3550,3599,3500,3514.5,3500
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",7,,,,,,,,,,,,,,,,,,,,,,3999,3495,3495,3495,3600,4000,4000,4000,4000,4000,4200,4000,4000,4000,3800,3800,3800,3900,4000,4250,4397.5,4800,4800,4500,4500,4550,4500,4400,4400,4500,4795,4500,4849.5,4750,4750,4799,4200,4200,4250,4356,4510,4640,4899,4799.5,4700,4250,4650,4997,4874.5,4675,4475,4622.5,4469.5,4495,4640,4800,4848,4872.5,5000,4950,4740,4600,4595,4250,4000,4500,4549.5,4300,4799,4699,4600,4300,4278.5
"East Side","El Paso","TX","El Paso","El Paso County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197.5,1150,1225,1250,1200,1312.5,1345,1250,1300,1285,1295,1237.5,1200,1250,1237.5,1297.5,1350,1349.5,1349,1325,1295,1295
"Crown Heights","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,2600,2600,2700,2800,3000,3200,3200,3249.5,3500,3299.5,3199,3099.5,3199,3199,3199,3199,3299,3500,3300,3299,3300,3800,3750,3500,3295,3325,3299,3397,3199,3300,3389,3395,3595,3800,3700,3500,3500,3500,3500,3599.5,3500,3500,3600,3650,3600,3800,3500,3700,3700,3687,3492.5,3498.5,3550,3692,3600,3500,3499,3500,3622.5,3549,3507.5,3550,3550,3500,3400,3600,3737.5,3641,3484,3300
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",10,1500,1500,1500,1475,1549.5,1450,1395,1395,1450,1375,1350,1395,1395,1387.5,1395,1495,1400,1400,1395,1425,1395,1397.5,1400,1395,1350,1395,1395,1395,1450,1400,1395,1425,1400,1400,1395,1350,1350,1350,1395,1395,1450,1495,1495,1495,1512.5,1495,1495,1425,1450,1450,1470,1497,1450,1495,1525,1535,1512.5,1550,1595,1595,1595,1600,1650,1650,1572.5,1625,1495,1495,1475,1462.5,1595,1450,1575,1595,1600,1600,1600,1650,1650,1650,1650,1650,1640,1650,1650,1695,1699,1700,1750,1712.5,1737.5,1795,1797.5,1735
