"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Eastmont","CA","San Francisco-Oakland-Hayward","Alameda County","Oakland",3893,2674,0.00905660377358491,0.0117290957245554,0.0198321891685736,836
2018-11-30,"Pleasantville Area","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",3894,1173,0.0155844155844156,0.02088772845953,0.0235602094240838,1226
2018-11-30,"East Isles","MN","Minneapolis-St. Paul-Bloomington","Hennepin County","Minneapolis",3895,1954,0.00256541816316059,0.00462724935732648,0.00308008213552361,920
2018-11-30,"United","TX","El Paso","El Paso County","El Paso",3896,899,0.007847533632287,0.00897867564534231,-0.00553097345132743,766
2018-11-30,"Historic Kenwood","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Saint Petersburg",3897,1527,0.00659195781147001,0.0173217854763491,0.0480439258750858,1268
2018-11-30,"Yankee Hill","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","Milwaukee",3898,2143,0.019990480723465,0.0238891543239369,-0.0250227479526843,502
2018-11-30,"Highland Park","MI","Grand Rapids-Wyoming","Kent County","Grand Rapids",3899,1218,0.0124688279301746,0.0158465387823186,-0.00571428571428571,1260
2018-11-30,"Newfield","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Stamford",3900,3313,-0.00808383233532934,-0.00390859891761876,0.00760340632603406,1184
2018-11-30,"Rosedale Park","MI","Detroit-Warren-Dearborn","Wayne County","Detroit",3901,987,0.0217391304347826,0.0217391304347826,0.00101419878296146,1612
2018-11-30,"Colonial Hills","NE","Lincoln","Lancaster County","Lincoln",3902,1403,0.00142755174875089,0.00285918513223731,-0.00848056537102473,1547
2018-11-30,"Your Neighborhood Group","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",3903,1591,0.0012586532410321,0.0012586532410321,0.0012586532410321,913
2018-11-30,"Galloway Ridge","OH","Columbus","Franklin County","Columbus",3904,1414,0.0114449213161659,0.0143472022955524,-0.0221300138312586,1145
2018-11-30,"Azalea-Hollywood Park","CA","San Diego-Carlsbad","San Diego County","San Diego",3905,2208,0.00914076782449726,0.0133088572739789,0.0284117373078714,438
2018-11-30,"Tallulah - North Shore","FL","Jacksonville","Duval County","Jacksonville",3906,859,0.0141676505312869,0.0189798339264531,0.0250596658711217,1730
2018-11-30,"River Terrace","DC","Washington-Arlington-Alexandria","District of Columbia","Washington",3907,1790,0.0240274599542334,0.0281447443997702,0.00788288288288288,986
2018-11-30,"Hikes Point","KY","Louisville/Jefferson County","Jefferson County","Louisville",3908,1304,0.00617283950617284,0.00694980694980695,-0.0246821241585639,1593
