"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880000,875000,899000,875000,867500,870000,872500,882000,892500,895000,899000,949500,975000,987000,1150000,1195000,1099000,1145000,1099000,990500,1095000,1150000,1295000,1200000,1200000,1295000,1248000,1150000,1195950,1195000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",2,649999,599000,599000,595000,599000,599000,607500,625000,599000,599000,597000,585000,590000,560000,599000,599000,595000,597000,595000,6e+05,599000,599000,615000,599000,625000,599000,599000,599000,599000,599000,599000,599000,610000,610000,620000,629000,635000,625000,625000,630000,625000,618000,630000,658500,625000,6e+05,615000,625000,625000,625000,643500,650000,649000,650000,685000,672500,695000,697000,689000,699000,695000,687500,712000,735000,750000,750000,735000,750000,750000,765000,774500,774500,799000,799000,795000,828000,750000,799000,820000,799500,797000,799000,799000,825000,849000,849000,864500,845000,845000,850000,849000,845000,845000,849000,849000,825000,799000,810000,827000,899000,899000,902500,924500,995000,995000,995000,985000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105000,109950,110500,110450,110500,109800,115000,119000,118000,118000,119388.5,119990,125000,125000,124999.5
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595000,620000,623000,620500,625000,623000,637000,635000,644450,659680,679150,690060,697860,730450,724500,712320,699300,695000,695000,695000,695000,712500
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,857000,839000,920000,919500,915000,892440,892440,907190,9e+05,895000,9e+05,9e+05,9e+05,920000,915000,9e+05,907050,905850,899000,908250,895000,904125,9e+05,9e+05,892500,895000,9e+05,904125,908250,898375,892500,903625,896150,897300,903625,897300,897300,897300,904125,860000,799000,817000,817000,768750,799000,795025,795025
"Lower East Side","New York","NY","New York-Newark-Jersey City","New York County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1358000,1370000,1382000,1384500,1401000,1384500,1395000,1417500,1409000,1409000,1397500,1405500,1395000,1399000,1401000
"Greater Uptown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193450,197000,189900,192400,189900,185000,208000,219000,214900,202450,216950,205000,205950,209000,199000,185000,189900,194750,189000,179000,170950,169450,169000,175000,179495,174950,172500,168000,174450,166000,179000,179000,172450,175000,178750,189900,177900,198275,195000,188250,188000,188000,182500,168500,166500
"Oak Lawn","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",8,159900,158700,153450,156250,149950,151250,154900,149900,149900,144000,144600,139250,134900,134900,140000,146250,147500,145000,150000,154450,155500,149900,149000,155500,149000,150000,142000,146000,154450,153250,156500,162000,159450,159000,165450,165000,155950,150000,152900,156950,156450,158497.5,151400,152900,157250,155500,165000,168700,169900,177000,175000,175000,169900,169900,160000,169450,169900,175000,175950,170950,176900,177000,188500,177500,183750,179999.5,179000,180000,177000,177000,193450,180000,182500,179000,185000,199999,199000,212450,209950,190000,188700,189900,198900,216250,220250,218250,222000,242000,235500,222495,219950,219900,204450,196850,194000,193000,207900,205450,217450,219900,205450,219900,220000,225000,224900,229900,247000
"Downtown","Memphis","TN","Memphis","Shelby County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,169900,174900,172450,175000,169750,174900,169700,165000,165000,162500,159000,163950,161000,161000,159499.5,159000,179000,177000,204450
"Coral Way","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219999,221449.5,225000,225000,229000,225500,225000,232450,230000,227500,237500,225000,229700,230000,244450,249000,244450,231250,240000,239950,239500,249949.5,252499.5,279400,279100,275700,277700,278700,249450,245000,245000,242500,245000,245000,245000,248500,249000,249000,249000,240000,242000,237500,244450,240000,240000,240000,242000,239900,239950,240000,246500,242500,244000,249000,246500
