"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"East Flatbush","New York","NY","New York-Newark-Jersey City","Kings County",27,399000,399000,398000,398000,399000,398500,392795,390590,391000,389700,389900,377000,380000,385000,385000,384900,379450,379450,375000,369999,369000,369000,369000,375000,372499.5,369000,379500,370000,375000,372500,379000,379000,379000,369000,369990,379000,390000,399000,395000,391000,399000,399000,399000,399450,399000,399000,390000,389000,389000,380000,389000,399000,422000,425000,425000,419000,420000,399000,399000,399000,399499.5,428000,449000,439999,449000,449000,459000,459000,450000,455000,450000,459000,450000,459000,459999,465000,475000,465000,475000,489494,489000,489000,477000,479000,484000,499000,499000,499000,499000,509000,504000,519000,525000,517000,517000,499900,517000,507450,517499.5,515499.5,525000,527000,527000,525000,525000,515000,529999
"South Side","Corpus Christi","TX","Corpus Christi","Nueces County",28,129000,127200,127700,129900,129900,129900,129900,129900,132500,132500,132500,131000,134000,135000,133875,129900,129000,128225,129900,129900,128950,129700,124900,126000,126000,127000,126000,125000,125000,125000,129900,129900,127550,128000,129250,129900,129900,129900,130500,134900,135000,134900,135000,138000,137500,137950,135000,136400,138975,138000,138000,139200,141000,139900,142250,140450,143900,149000,144500,142900,139900,143750,148900,149412.5,149900,149900,149000,153950,155000,157250,159000,159900,159900,159900,155000,155000,156449.5,159900,160950,160000,159900,159900,159225,159900,155900,157900,156000,160000,164500,162750,162950,160000,164900,165000,164900,164900,165000,166500,168450,169900,173450,174900,175000,174450,174900,170000,172000
"Alief","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",29,120425,120000,121750,120900,124000,123000,120500,120500,119925,120000,120000,118500,117950,119900,119900,119900,119500,119250,119900,120000,120000,119900,121600,120000,119950,117500,119675,115000,120000,120000,119975,119975,119450,118000,119900,119900,119900,119950,120000,119900,119900,119950,119900,120000,125000,125000,125000,125000,124800,124950,125000,129999,124950,126000,129900,128950,129700,129995.5,130000,138900,143200,140969.5,141675,143000,144900,145000,147000,149950,159900,161900,151000,155000,159900,159900,159900,158000,159999.5,160000,162700,159900,160900,159900,163000,160000,162900,160000,165000,169900,169900,169900,169945,169990,172500,172500,175000,175000,175000,175000,175000,175000,179900,178444,179900,179400,175000,175000,179950
"East Memphis-Colonial-Yorkshire","Memphis","TN","Memphis","Shelby County",30,119900,120000,121250,122250,124200,119500,119250,119500,119000,118900,117500,113950,114700,114900,115000,114900,115000,116675,115000,114900,112000,110000,109900,109450,109000,107550,108000,109000,108950,109900,110000,109950,109900,110900,112900,111450,109900,109900,111000,112000,110000,114900,112500,113200,115000,118000,118000,118000,114500,109900,112300,114900,112900,114900,115500,109900,109575,112500,109950,114675,116000,114900,115538,119900,120000,119900,117200,118000,117000,114900,114900,114900,115000,117000,118650,119900,124500,124900,122000,124950,125000,124950,125000,125000,125000,125000,129700,129950,129900,128000,129900,129900,128200,129900,129900,129950,120000,129900,137900,144900,144950,150000,155000,154950,149900,149900,150000
"Bullard","Fresno","CA","Fresno","Fresno County",31,175000,178750,174950,174900,175000,173200,174250,171750,169900,164700,164700,169900,169900,167650,164900,164900,159900,159250,157900,158900,157950,155000,155000,149900,149900,149950,149900,149900,151595,149900,154950,157894,149900,149900,156900,164900,165000,161950,163000,169900,171750,174900,171000,179999.5,184700,185000,185000,184900,183900,181000,193500,205000,209700,209250,204500,199949.5,202425,207250,199950,208750,210000,2e+05,209925,209975,210000,210000,209950,215000,219000,215000,219000,219000,219250,225000,229000,225000,224250,224250,228500,239000,238200,235000,229900,229450,229900,229999.5,240000,247950,250000,249000,253450,249900,249949.5,250000,249900,249900,254950,257200,255950,259000,255000,255900,258750,258500,259900,259000,259000
"Southwest Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",32,144900,142283,142500,139997,139900,139900,139999.5,141999,142283,143587.5,145000,143112.5,143325,141999,141999.5,140495,144000,144398,143900,144000,143940,143550,143550,143990,142550,141550,143550,144755,142340,147550,143130,145717.5,147000,147500,147550,149280,149970,149275,149900,149550,149900,151775,154500,154900,158450,150000,150000,149950,149900,144000,144500,150000,153950,154900,150000,151500,157900,159950,154400,151500,153700,164900,163500,160000,160000,167450,169900,174900,169950,170000,177450,172000,180000,184900,184500,182000,182000,186450,180000,185000,190000,199000,205000,204000,199950,210000,210000,217000,219000,220000,225500,225737,222000,224900,220000,220000,235900,235000,235000,239000,239900,239900,239000,239700,238950,239900,248000
"Central City","Corpus Christi","TX","Corpus Christi","Nueces County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,118500,119000,108999,114000,115000,114950,116950,119900,119949.5,113200,115000,119900,119900,113950,119900,122400,124900,119950,129000,128000,125000,125000,124450,129000,129900,125000,134550,125000,132050,129900,129900,129000,126000,129900,130000,128900,129900,130000,133625,134750,130750,133700,134900,134900,132700,135000,132000,137200,135700,139450,139000,139900,139000,139900,141749.5,139900,144900,145000,143900,137450,139900,132250,129000,135000,135000,139900,139000,139900,140400,138200,140900
"Northeast","El Paso","TX","El Paso","El Paso County",34,117950,117450,117950,117950,115000,115000,114950,115000,115000,115000,113684,115000,115975,119700,118200,115000,115000,115000,114950,112250,114900,112900,111450,111175,111725,112000,112000,112000,111000,114000,114450,112999.5,112950,112950,112950,114900,114950,114900,113999.5,115000,115225,115999,115475,115700,118000,118000,115950,118450,118000,118000,116250,115900,115000,114900,114900,112900,113000,112450,112900,110000,114888,114950,115700,115950,117000,115950,115000,115000,115000,115000,115000,117450,119700,119000,119950,124925,124900,124925,122950,123500,120000,120950,120950,120200,119900,118950,118900,118900,118500,119000,119925,120000,119750,119000,121900,123997.5,124990,124888,124972.5,122750,122000,124925,125000,125000,125000,126000,126820
"South Scottsdale","Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",35,165000,165000,164598,165000,165109,159900,160000,164900,159000,153700,154900,153500,151900,150000,149000,149000,148750,147000,145000,145000,145000,147500,145000,148000,154450,159000,160000,159900,162750,163000,159900,164900,169900,169990,169900,174950,179000,180000,189000,194900,199450,199000,199000,199950,214900,218900,215000,214500,214800,214950,220000,219800,219000,225000,225000,225000,228700,229000,227950,229000,229000,229000,225900,225000,227900,235000,234900,239900,239900,240000,246300,249000,245000,244450,245000,244950,240000,244000,249000,254000,250000,250000,254900,254900,250000,249994.5,250000,254900,250000,255000,260000,263700,264900,274500,270000,274500,275000,274499,278000,285000,286000,289000,287950,292750,289950,289900,295000
"Sheepshead Bay","New York","NY","New York-Newark-Jersey City","Kings County",36,384815,371000,376320,389325,389000,396570,399000,399000,398000,389325,379000,379000,375000,375000,369000,364500,395000,390000,395000,395000,397000,399000,399000,395000,399000,399000,392000,377000,329000,379000,347000,349000,362000,349000,367000,365000,365000,369000,367000,360000,349000,338888,341999.5,336944,349000,385000,350000,375000,375000,373500,372000,380000,385000,385000,399000,399000,395000,4e+05,399000,399000,398500,398000,409000,419999,419999,425000,422825,427000,399000,399000,397000,394000,404000,439000,409000,399000,399000,397000,389000,399000,399000,404450,425000,449000,449000,449000,448888,450000,449000,449500,459500,454500,459500,470000,459000,475000,475000,479761,472499.5,479000,476269,470634.5,453337.5,459000,453337.5,454986,464450
