RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
269502,Merle Hay,Iowa,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94e3,93500,95900,97400,98500,97200,94600,94400,96400,101900,101900,105e3,99400,101700,96500,102200,101e3,107300,109700,112800,112100,109400,109200,111900,113200,115900,115300,116600,117300,115500,117300,118800,124300,125300,126300,124100,121200,119100,123e3,120700,122800,117900,126600,123300
125623,Palm Aire,Florida,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103600,102500,106800,104100,109200,106500,102300,102500,101300,108300,108100,111300,105500,106200,103500,105e3,106600,111100,117800,123100,128800,131700,129700,128200,128700,131200,130600,128500,128400,130400,134700,132800,135900,136800,139200,147e3,143400,143200,136700,136e3,139900,142e3,146600,144600,144800,142800
274e3,Highland Park,Iowa,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82700,78600,78700,79200,78900,79600,84200,81e3,80800,72400,75700,83200,86500,89500,79300,79500,75200,77300,83500,87900,90700,90400,98300,105900,112200,110200,98600,91400,91700,94600,99300,93500,96800,91600
264122,Pinebrook,Florida,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131700,135600,136500,141100,138400,143700,140500,146900,147200,166200,166e3,166300,143700,143100,146100,151e3,149400,141400,144900,148800,155500,170400,163700,160900,142500,149e3,152100,154300,155300,157100,148500,146e3
763904,East Bench,Utah,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152300,149e3,153700,153300,157900,158200,170700,178900,176400,168e3,163300,176e3,182200,185800,173700,163400,153100,157800,165900,183200,188e3,187500,186300,193400,196900,200600,198800,199800,193300
416890,Midtown West,California,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140100,130600,140700,144e3,149200,148600,151800,160500,164e3,175900,172800,166e3,163300,175e3,179600,188500,183400,190900,186100,187e3,178200,175400,177500,189200,195500,199200,193700,201700,200500,225400,238300,248600,235700,230600,237500,233e3,228600,224e3,236800,246600,
270105,Downtown,Minnesota,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111800,131400,124e3,117400,111200,120700,119700,137200,145500,145500,132200,125600,130900,140600,144800,147200,151800,149600,144e3,128200,119600,137900,137800,149700,132900,146300,134800,148700,137400,146800,150400,161600,163600,161e3,164300,164300,165300,161900,164800,156400,157500,160700,161100
24160,College Park,Nevada,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89300,91800,94500,103800,101e3,93e3,95200,108200,116500,116800,108600,99100,104200,104200,111e3,114400,131400,138700,138700,129300,123100,128100,142100,142300,140900,136800,148700,149700,152e3,162800,166700,167800,,
31177,Darlington,Rhode Island,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167500,172800,167100,163400,163300,170900,175100,169700,169500,174800,187900,189600,186e3,184700,186300,196400,200800,196800,201900,181300,177e3,174e3,186300,203200,199600,207800,207100,214400,219400,222e3,231800,217600
13010,North Chelmsford,Massachusetts,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227700,232900,227800,227900,226600,231200,228800,227700,196800,208700,219200,245600,237900,231400,245300,252300,257e3,255100,256300,275900,291e3,294300,287200,281300,280200,283100,271900,270300,261200,269600,267200,
