"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Newtonville","Newton","MA","Boston-Cambridge-Newton","Middlesex County",319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,3100,3097.5,2995,2825,2900,2850,3000,3400,3400,3500,3500,3500,3500,3200,2695,2900,3100,3500,3850,3850
"Beacon Hill","Boston","MA","Boston-Cambridge-Newton","Suffolk County",320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4125,4055,3975,3975,3960,3900,3922.5,3967.5,4000,4050,4150,4150,4100,4145,4149,4149,4100,3995,3995,3995,3995
"Upper Eastside","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601.5,3378,3240,3300,3275,3395,3500,3490,3500,3135,3100,3400,3529,3673,3300,3550,3450,3400
"Water Catchment Area","West Palm Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.5,1787.5,1750,1747.5,1705,1800,1800,1774.5,1772,1750,1667.5,1795,1770,1850,1770,1800,1747.5,1800,1810,1792.5
"Rockaway Beach","New York","NY","New York-Newark-Jersey City","Queens County",323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
"Stanton","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1250,1250,1312.5,1200,1135,1100,1100,1200,1200,1200,1200,1225,1225,1230,1200,1200,1200,1200,1300
"East Somerville","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2895,2895,2850,2800,2800,2995,2900,2850,2725,2700,2597.5,2547.5,2500,2600,2724.5,2800,2950,2950,2950,2850,2600,2500
"The Village","Oklahoma City","OK","Oklahoma City","Oklahoma County",326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097.5,1100,1195,1150,1200,1175,1100,1050,1050,1095,1050,1075,1095,1150,1170,1195,1150,1150,1200,1187.5,1187.5,1200
"Noble Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,2795,2500,2500,2500,2500,2400,2400,2395,2195,2412.5,2460,2400,2350,2500,2600,2675,2600,2550,2500,2475,2400
"Oakland","Pittsburgh","PA","Pittsburgh","Allegheny County",328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,1800,1800,1712.5,1675,1672.5,1700,1600,1600,1550,1500,1595,1700
"Mount Washington","Pittsburgh","PA","Pittsburgh","Allegheny County",329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1300,1299,1250,1300,1400,1399,1299,1375,1410,1400,1299.5,1350,1300,1300,1299,1272.5,1249.5,1200,1250,1300
"Spring Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3450,3300,3300,3250,3300,3100,3000,3000,2800,2850,2800,2800,3000,3278,3300,3300,3200,3200,3000,2800,2800
"South-West Coconut Grove","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3500,3500,3400,3600,3500,3500,3500,3350,3125,3350,3500,3500,3500,3500,3500,3600,3500,3500,3900,3900,3850
"Kenwood","Chicago","IL","Chicago-Naperville-Elgin","Cook County",332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2492,2344,2344,2353.5,2338,2319,2299,2495,2494,2495,2495,2495
"Chestnut Hill","Newton","MA","Boston-Cambridge-Newton","Middlesex County",333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,3100,2950,3050,2900,2900,2800,2750,3200,3200,3200,3200,2850,3200,3000,3000,3200,3200,3300
"Deerwood","Jacksonville","FL","Jacksonville","Duval County",334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,1395,1400,1549,1495,1495,1495,1499.5,1552.5,1595,1547.5,1550,1472.5,1599,1447.5,1571,1572.5,1597,1691,1795,1745,1784.5
"Old North Columbus","Columbus","OH","Columbus","Franklin County",335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1309.5,1295,1295,1200,1200,1195,1150,1150,1200,1400,1300,1299,1250,1262.5,1275,1295,1250,1297.5,1250,1279.5,1430,1470
"West Woodlawn","Chicago","IL","Chicago-Naperville-Elgin","Cook County",336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1150,1150,1200,1150,1200,1200,1150,1150,1150,1150,1150,1150,1128,1128,1150,1150,1200,1200,1200,1200,1150,1150
"East Ukrainian Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325,2500,2500,2500,2500,2500,2400,2350,2100,2150,2400,2400,2250,2400,2500,2500,2500,2500,2500,2200
"North Lake","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1448,1433,1395,1375,1395,1425,1448,1448,1478,1486,1490.5,1486,1499,1495,1492.5
"Federal Hill","Providence","RI","Providence-Warwick","Providence County",339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.5,1500,1500,1500,1495,1400,1350,1400,1450,1425,1412.5,1500,1575,1537.5,1500,1550,1650,1500,1500,1425,1400
"Baldwin Park","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2345,2450,2400,2450,2445,2500,2599,2477.5,2410,2250,2280,2300,2290,2440.5,2335,2400,2435,2449,2442,2400,2425,2500
"Wellington-Harrington","Cambridge","MA","Boston-Cambridge-Newton","Middlesex County",341,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2800,2950,3000,2700,2800,2800,2850,2850,2800,2800,2800,3000,3100,3050,2950,3000,2900,2800,2900,2950,2900,2800,2975,3000,3100,3150,3100,3000,2900,2900,2750,2875,3000,3250,3250,3250,3300,3300,3320,3125,3200,3000,3000,3000,2950,2850,3000,3150,3350,3400,3300,3200,3200,2995,2850,3000,2850,3000,3300,3450,3400,3400,3300,3295,3200,3400
"Springs","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28000,25000,25000,21500,21500,21000,18000,20000,22500,20000,20000,20000,20000,17000,16000,16000,17000,17000,16000,15000,15000
"Magoun Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3025,3025,2900,2900,2700,2700,2700,2599.5,2550,2700,2850,2850,2850,2900,2800,2750,2500
"Tech Terrace","Lubbock","TX","Lubbock","Lubbock County",344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1425,1395,1400,1372.5,1395,1250,1200,1200,1225,1325,1500,1575,1500,1495,1400,1387.5,1200,1150,1172.5,1112.5
"Ruskin Heights","Kansas City","MO","Kansas City","Jackson County",345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,825,812.5,800,825,825,775,812.5,825,795,800,825,825,825,825,845,825,825,850,850
"Aspinwall Hill","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3100,3175,3200,3300,3200,3200,3200,3000,3200,3200,3200,3200,3200,3200,3300,3300,3200,3150,3100,3150
"Central Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2990,2950,2950,2937.5,3000,3200,3300,3200,3000,3000,3000,2850,3000,3100,3000,3000,2900,2850,2850
"Wrigleyville","Chicago","IL","Chicago-Naperville-Elgin","Cook County",348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550,2595,2495,2495,2475,2787.5,2600,2500,2250,2325,2375,2495,2472.5,2495,2495,2500,2750,2700,2700,2595,2400,2350
"Ball Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2900,3300,3300,3100,3000,3000,3200,3200,3200,2975,2975,3000,3000,3295,3300,3300,3000,3000,3200,3200
"Porter Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3125,3150,3150,3000,2700,2650,2500,2700,3000,3300,3300,3400,3450,3400,3350,3150,3000,2900
"Northwest Harbor","East Hampton","NY","New York-Newark-Jersey City","Suffolk County",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33750,30000,30000,30000,27500,26500,26000,28000,25000,25250,25000,23250,20000,20000,19500,18000,18000,19500,18000,20000
"Lawrence","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350,3350,3300,3300,3350,3350,3350,3500,3350,3400,3400,3400,3500,3500,3500,3500,3500,3500,3400,3300,3325,3500
"Orange County Great Park","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,3400,3500,3500,3500,3500,3500,3500,3500,3500,3600,3650,3600,3575,3500,3500
