"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Union Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",276,,,,,,,,,,,,,,,,,,,,,,,,2350,2400,2400,2700,2700,2800,2700,2700,2700,3000,2700,2890,2985,2700,2800,2750,2800,2900,2900,2900,2750,2750,2775,2700,2700,2700,2750,2900,2900,2950,2975,2900,2800,2700,2700,2700,2700,2650,2650,2875,2875,3000,3000,2900,2950,2900,2800,2700,2662.5,2700,2700,3000,3100,3100,3100,3100,3000,3000,3000,3000,2995,2995,3000,3100,3200,3150,3125,3150,3100,2977.5,2995
"North Central","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",277,,,,,,,,,,,,,1575,1650,1612.5,1680,1665,1575,1500,1500,1650,1650,1650,1700,1650,1695,1650,1650,1650,1545,1500,1500,1495,1495,1500,1650,1650,1650,1650,1650,1650,1500,1500,1500,1500,1575,1575,1650,1650,1650,1650,1650,1650,1650,1575,1575,1575,1650,1725,1650,1650,1725,1725,1650,1800,1650,1650,1500,1650,1575,1740,1725,1725,1725,1740,1800,1785,1725,1712.5,1600,1585,1800,1800,1800,1800,1800,1700,1650,1650,1575,1575,1587.5,1587.5,1800
"Pioneer Park","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,1140,1172.5,1195,1212.5,1242.5,1175,1200,1200,1200,1295,1282.5,1295,1250,1245,1285,1350,1395,1300,1275,1350,1325
"McCullough Hills","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1465,1487.5,1515,1500,1500,1674,1500,1545,1650,1740,1600,1475,1562.5,1595,1640
"Chimney Lakes","Jacksonville","FL","Jacksonville","Duval County",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1212.5,1197.5,1225,1297.5,1300,1250,1295,1300,1297.5,1295,1300,1320,1320,1330,1350,1350,1340,1350,1350,1350,1346
"Roxborough","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1625,1650,1675,1600,1600,1600,1600,1595,1500,1562.5,1550,1600,1600,1700,1662.5,1700,1650,1650,1699,1700,1600
"West Garfield Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1250,1200,1200,1197.5,1250,1250,1150,1150,1250,1300,1300,1250,1250,1375,1250,1250,1250,1250,1253,1253
"Downtown","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",283,3250,3500,3400,3400,3200,3300,3300,3400,3500,3500,3800,3600,3500,3500,3500,3600,3600,3800,3970,3650,3600,3550,3599,3600,3600,3600,3600,3600,3600,3600,3700,3925,3875,3700,3800,3990,4100,3999.5,4025,4050,4549.5,5200,4700,5100,4599,4000,4000,4099.5,4000,4500,4400,4400,4200,4200,4175,4150,4500,4500,4000,4175,4549.5,4380,4100,4300,3800,4150,4200,4050,4300,4500,4200,4500,4000,4200,4500,4250,4200,4200,4195,4200,4200,4185,4000,3987.5,3950,3817.5,3950,4175,4175,4200,4200,4175,4175,4175
"Woodlawn","Chicago","IL","Chicago-Naperville-Elgin","Cook County",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1250,1400,1325,1300,1362.5,1285,1250,1350,1350,1300,1295,1300,1325,1425,1355,1425,1475,1475,1350,1400,1450,1400
"Hunters Point","New York","NY","New York-Newark-Jersey City","Queens County",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390,5370,5269,4995,4995,4700,4428,4594,4533.5,4447,4460,4492.5,4845,5010,5350,5350,5155,5240,5217.5,5235,5150,4997.5,5150,4500,4404.5,4400,4418.5,4845,4995,4995,4895,4595,4443,4795,4695,4810,4845,4695,4395,4840,4595,4595,4550,4499,4995,5195,5130,5130,5150,5240,5240,5240,5162.5,4995,5000,4995,5010,5189.5,5070.5,5240,5320,5290,5350,5260,5240,5155
