"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Mid City","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",30,569000,569000,569000,499000,549000,499900,569000,579000,575000,555000,549000,501950,482000,531950,531950,499000,549000,529000,585000,549000,489000,549000,549500,585000,599000,594950,594950,649900,649000,649000,649000,644000,699000,621500,644000,649000,664000,644000,754450,774500,799000,719000,629000,726500,729000,724000,739000,739500,749000,744500,849000,8e+05,769900,749000,770000,749000,779000,720000,699450,699000,722500,699950,715000,730200,750000,829000,789000,789000,792000,762450,774900,749000,764950,789500,834500,849000,849450,849000,872000,894000,829000,884000,954944,878100,975000,1018000,1008500,1069000,1050000,1077500,1057500,1072500,1050000,1095000,1099000,967500,985000,950000,989000,989000,1137000,1069500,1099500,1042000,1082000,1069000,1069500
"Logan Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424900,432000,444800,415000,429000,419900,429000,424900,412000,405000,399950,399000,426950,432400,467000,449900,444900,449900,449900,459900,469900,485900,499900,524900,489000,489000,565000,575000,579800,549000,529450,519950,504900,499000,504500,499900,509000,499450,499000,487000,479000,499450,479000,499900,469000,469000,494000,5e+05,519000,5e+05,499949.5,499000,509250
"Preston Hollow","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",32,217000,219450,219900,219900,219700,224900,227000,225000,222414.5,216950,214925,199900,199900,199450,199900,199900,199900,199250,192250,189000,188900,188890,198000,199900,199900,199900,199900,185000,209000,209000,209900,210000,214900,229000,238000,242500,246500,255000,252400,249900,243450,259900,244450,249950,259750,260000,258445,265000,269250,259000,255750,259900,277250,259450,287450,285000,252500,262000,264000,259900,275950,279000,289500,279500,288500,295000,302500,295000,3e+05,315000,339000,309900,299950,328500,345000,349900,344900,349900,349900,359750,379500,379900,379950,371800,359000,360000,399000,399950,419900,398000,399450,399450,394500,385000,382450,385000,384950,421500,387450,399900,390000,395000,399000,399000,416500,399000,399000
"Lower East Side","New York","NY","New York-Newark-Jersey City","New York County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3891500,3950000,3963500,4016000,4016000,3977000,3950000,4016000,3977000,3963500,3863000,3891500,3891500,3845000,3891500,3895000
"Sun Valley","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",34,299000,319000,319000,3e+05,299900,299000,305000,309900,299127.5,295000,293500,299000,299000,289000,289000,289000,295000,289000,294900,287000,275000,271500,269450,270000,275000,275000,275000,275000,270000,275000,281600,289982,289982,299900,3e+05,319900,319900,329700,330000,329950,330000,339450,380000,387000,392000,394900,393500,383000,389000,399999,399000,399900,399900,409950,424950,430000,425000,420500,411000,429000,427000,420000,419000,449000,449972,466782,458000,457000,449945,439900,439000,439000,445000,444450,444500,462500,460000,488944,483500,499000,494000,499925,511950,5e+05,499500,504500,509900,544000,532450,565000,552500,550000,557250,549900,549900,549950,545000,547000,550000,564500,563000,569000,587445,587445,589995,579000,567448.5
"Northridge","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",35,399000,399475,399000,425000,410440,399999,415000,409000,399975,399950,399250,399625,382475,382500,387000,394000,385000,399000,385000,389900,375000,372963,357450,365000,367000,379000,360500,395000,396497.5,395000,354950,339500,349925,359450,370950,368500,399000,399999,425000,425000,448750,442000,459000,469950,475000,475000,465500,450000,489900,499475,456500,492000,480000,480000,499000,499950,519900,519900,499450,499000,480000,495000,495000,504925,499475,504475,529000,504500,529000,529000,541500,554999,550000,569000,589975,599950,599999,594950,591960,599000,599950,593480,595000,591960,599000,599499.5,617000,619499.5,629500,646500,619950,619999,619475,599950,599900,599950,599950,599950,629950,639000,635000,630000,669000,644890,627000,619999,635000
"Alafaya","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",36,159500,159900,154950,150000,150450,145000,141787.5,140000,139900,139900,139450,134900,129900,125000,129900,126000,131000,134000,134000,134900,137350,139999.5,140995,139900,139999,140000,139900,139900,139900,149900,146945,149000,145000,147000,145000,150000,157500,160000,171900,169000,174900,169990,174900,169900,175000,175000,175000,175000,188700,189900,189949.5,189900,189700,189500,188500,189000,188950,185700,189000,187500,184900,187750,189000,199900,199900,2e+05,2e+05,205000,199450,199000,199900,199900,199900,198000,219900,220000,224900,225000,225000,220000,219900,225000,225000,225000,228500,229700,234000,232700,237950,239000,240000,239994.5,239900,240000,239500,249950,244900,250000,245000,244950,249450,249950,258450,259000,254950,253950,250000
"Sylmar","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",37,253500,249950,255000,262499.5,257000,259500,259900,265000,259950,259000,256000,250000,250000,250000,260000,275000,266950,269900,260000,260000,260000,257000,257000,256000,250000,248000,240000,241500,250000,250900,260000,270000,259900,270000,255000,272500,279950,289000,299000,319000,322000,339450,339950,347450,339900,349900,340000,365000,357450,349972.5,375000,377450,371375,380000,369950,370000,375000,375000,382450,377000,385000,375000,379999.5,387000,399900,404947.5,399900,382475,377450,399949.5,405000,419777,419900,413500,412000,429000,429999,439000,429949.5,429999,429999.5,435000,434999,439000,435000,447500,464950,460000,479000,479450,479000,479000,475000,489900,479500,479000,480000,489900,485000,477000,499000,505000,505000,508950,512475,519000,516925
"Sharpstown","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162250,162250,149500,152250,149000,144900,145000,149450,142500,167500,149000,164900,161950,172450,170000,169500,179000,169999,168000,164000,165000,168000,179450,179450,182390,198000,199200,199500,199700,199900,199700,199500,189000,212249.5,215000,204250,212500,215000,192450,197250,199900,199900,199990,205000,205000,211950,209900,209950,214900,219000,215000,209000,223500,219000,219000,219000,224950,222449.5,215750,219000,216250
"West","Arlington","TX","Dallas-Fort Worth-Arlington","Tarrant County",39,124750,124950,129900,135900,135000,130000,129900,129900,129900,129000,129000,125000,126900,124900,125000,125000,128900,127950,127400,126900,126900,127700,127250,124900,124900,125000,120000,118000,124950,125000,129000,126995,129000,129450,129900,129950,133900,134000,134900,133900,137950,138000,139900,140000,145000,145000,144000,145300,143950,149900,149900,145000,145000,144950,150000,154900,153900,148900,149900,149900,154000,159900,159900,165000,161750,160000,159990,159950,159900,159000,160000,162000,170000,169900,170000,175000,179950,179900,185000,189000,189000,189900,195000,195000,194500,190000,189900,189900,195000,2e+05,195000,195000,195000,189990,193500,2e+05,204500,210000,210000,204950,2e+05,225000,227000,220000,220000,220000,225000
