"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Victoria Park","Fort Lauderdale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1373.5,1387.5,1447.5,1350,1400,1375,1472.5,1495,1475,1462.5,1400,1400,1350,1300,1495,1495,1500,1500,1400,1445,1450,1425
"East Chatham","Chicago","IL","Chicago-Naperville-Elgin","Cook County",268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,965,1044,1044,1044,1044,1000,1000,950,950,999,950,1000,980,1000,965,900,980,815,800,835
"Midtown - Winn Park Capital Avenue","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1275,1337.5,1207.5,1255,1292.5,1272.5,1300,1195,1222.5,1300,1260,1295,1350,1295,1297.5,1285
"New Eastside","Chicago","IL","Chicago-Naperville-Elgin","Cook County",270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2251,2145,2122,2038,2033,1900.5,1925.5,1930,1956,2173,1961.5,1939,1910,2098,1921,1966,1890,1925.5,1921,1921,1930,1999,1999,2039,1955,1910,1905.5,2005,2092.5,2048,2091,2092.5,2100,2119,2099,1901,2095
"West End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800,2805,2850,2777.5,2855,2823,2855,2755,2855,2800,2857.5,2900,2800,2855,2900,2865,2965,3070,3035,3090,3100,3025,3050,2984
"North Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1495,1450,1410,1472.5,1500,1465,1450,1482.5,1450,1475,1380,1325
"Old Town","Chicago","IL","Chicago-Naperville-Elgin","Cook County",273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1887,2087,1995,2035,2200,2176,2195,2425,2395,2400,2393,2395,2189,2108,2177,2245.5,2200,2150,2250,2395,2295,2350,2395,2200,2495,2275
"Marlyville-Fontainebleau","New Orleans","LA","New Orleans-Metairie","Orleans Parish",274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1625,1700,1600,1412.5,1500,1400,1325,1350,1350,1500,1500,1500,1600,1550,1500,1575,1525,1550,1500
"River North","Chicago","IL","Chicago-Naperville-Elgin","Cook County",275,,,,,,,,,,,,,,,,,,,,,,,,2025,2001,2145,2000.5,2150,2246,2250,2222.5,2275,2250,2250,2300,2297.5,2250,2170,2136,2200,2173,2238,2379,2543,2624.5,2481,2535,2500,2470,2627,2500,2460,2454,2285,2490.5,2562.5,2496,2497,2520,2627,2630,2502,2488,2500,2613,2500,2412.5,2313,2379,2392,2392,2340,2338,2340.5,2300,2239,2300,2300,2300,2300,2325.5,2350,2445.5,2357.5,2200,2263.5,2300,2300,2220.5,2375,2500,2390,2394,2350,2394,2600,3009
"Ukrainian Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.5,1725,1690,1795,1800,1800,1800,1895,1800,1900,1862.5,1900,1950,1900,1925,1950,2045,2150,1950,1950,1925,1807
"Southside Flats","Pittsburgh","PA","Pittsburgh","Allegheny County",277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422.5,1495,1472.5,1499,1445,1500,1470,1350,1395,1350,1335,1350,1350,1400,1350,1397.5,1350,1350,1350,1295,1350
"NoHo","New York","NY","New York-Newark-Jersey City","New York County",278,,,,,,,,,,,,,,,,,,,4710,4847.5,4200,4445,4697.5,4637.5,3850,3875,3650,3650,3695,3695,3650,3695,3700,3895,3857.5,4050,3900,3795,3650,3750,3750,3799,3800,3900,4095,4395,4500,4500,4550,4500,4350,4272.5,4300,4395,4500.5,4000,4200,4295,4395,4495,4525.5,4495,4495,4595,4650,4500,4500.5,4472.5,4172.5,4498,3995,4022.5,3972.5,4095,4295,3995,3925,4200,4095,4247.5,4212.5,4195,4395,4350,4295,4300,4150,3995,4212.5,4060,4187.5,4525.5,4725,4395,5075,4695,4435
"Union Station","Denver","CO","Denver-Aurora-Lakewood","Denver County",279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,2772.5,2750,2700,2700,2700,2795,2772.5,2772.5,2772.5,2750,2850,2772.5
"Fulton River District","Chicago","IL","Chicago-Naperville-Elgin","Cook County",280,,,,,,,,,,,,,,,,,,,,2021,2004,1924.5,1888,1779.5,1806,1865.5,1862,1841.5,1994.5,1953,1944.5,1989,1999,2000,2013,1982.5,2001,1980,1980,2035,2050,2070,2075,2065,2047.5,2050,2035,2035.5,2100,2101,2056.5,2095,2086.5,2058,2061,2182,2130,2131,2086,2145,2107.5,2100,2074,2080.5,2096.5,2078.5,1950,1916.5,1992.5,2102,2135,1950,2115,2155,1885,2053,1950,1950,2000,1950,2033,2052,2127.5,2061,2033.5,2101,2043,2070,2070,2095,2104,2135,2375,2300,2342.5,2311.5,2245
"Magoun Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2100,1922.5,2100,2100,2400,2400,2450,2400,2425,2422.5,2350,2100,2070,2400,2550,2550,2500,2500,2480,2500,2550,2550,2550
"Garment District","New York","NY","New York-Newark-Jersey City","New York County",282,,,,,,,,3300,3300,3495,3580,3495,3566,3590,3495,3455,3455,3412.5,3299.5,3350,3400,3450,3500,3472.5,3495,3495,3550,3595,3450,3450,3450,3500,3500,3500,3500,3500,3350,3300,3301,3300,3390,3390,3395,3480,3547.5,3300,3400,3400,3397.5,3495,3500,3550,3400,3501.5,3650,3500,3462.5,3400,3800,3897.5,3650,3701,3800,3797.5,3600,3500,3575,3395,3872.5,3800,3595,3919.5,3745.5,3895,3790,3650,3850,3950,3977.5,3895,3790,3970,3969,3982,3979.5,3687,3646,3600,3641,3626.5,3615,3695,3911.5,3950,3995,3895,3950
"Lincoln Square","Chicago","IL","Chicago-Naperville-Elgin","Cook County",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1495,1595,1590,1595,1525,1500,1525,1525,1495,1475,1550,1495,1485,1497.5,1464.5,1600,1645,1575,1510,1437.5
"South Pointe","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5900,5950,5500,5500,5500,5250,5200,5500,4900,5100,4900,4900,4900
"Teele Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2387.5,2500,2700,2850,2800,2700,2800,2800,2750,2550,2500,2450,2500,2700,3000,3000,2850,3000,2750,2700,2500
"Central Hill","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2195,2420,2350,2050,2400,2500,2500,2495,2375,2325,2400,2500,2690,2337.5,2390,2100,2200,2200,2350,2520,2625,2510,2600
"Central Business District","Orlando","FL","Orlando-Kissimmee-Sanford","Orange County",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1460,1438.5,1590,1455,1483,1678,1615.5,1663,1710.5,1815,1647.5,1473,1325,1517,1615,1550,1479
"Biscayne Point","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1512.5,1537.5,1500,1410,1392.5,1500,1600,1700,1600,1600,1600,1500,1550,1412.5
"Wrigleyville","Chicago","IL","Chicago-Naperville-Elgin","Cook County",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,1995,1850,1950,2077.5,1935,1750,1700,1687.5,1650,1725,1787.5,1872.5,1950,1900,1950,1900,1900,1845,1797.5,1795
"Ball Square","Somerville","MA","Boston-Cambridge-Newton","Middlesex County",290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3200,3000,3000,3175,3000,2700,2750,2700,2700,3000,3500,3450,3200,3000,2850,2700,2800
"Corey Hill","Brookline","MA","Boston-Cambridge-Newton","Norfolk County",291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2497.5,2700,2400,2525,2875,2667,2800,3100,2600,2695,2850,2800,2625,2900,2800,2430,2350,2405,2800,2595,2595,2575,2550,2550,2500,2500,2497.5
"French Quarter","New Orleans","LA","New Orleans-Metairie","Orleans Parish",292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,1900,1950,1850,1850,1800,1750,1800,1800,1850,1800,1850,1800,1850,1795,1900,1787.5,1725,1750,1697.5,1775
"Dearborn Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,2100,1896,1892,1935,1920,1886,1990,2019.5,2069,2147.5,2150,2200,2067.5,2294,2367
"South East Ravenswood","Chicago","IL","Chicago-Naperville-Elgin","Cook County",294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1350,1350,1350,1512.5,1395,1242.5,1125,1115,1230,1235,1320,1250,1410,1402.5,1255,1347.5,1350,1350,1407.5,1250,1195
"River West","Chicago","IL","Chicago-Naperville-Elgin","Cook County",295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2050,2100,2105,1975,2100,1950,2025,1782.5,2000,1781.5,1758.5,1763,1758,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1674.5,1650,1650,1700,1875,1872.5,1950,1850,1794,1815,1985,1950,1965,2000,1950,1968.5,2099,2120,2291.5,1901
