"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Downtown","New York","NY","New York-Newark-Jersey City","Kings County",232,,,,,,,,,,,2522.5,2522.5,2500,2625,2790,2930,2930,2905,2875,2875,2900,2948.5,2950,2882,2900,2900,2900,3100,2982,2880,2857,2980,3053.5,3045,3050,3100,3000,2970,2950,2960,2990,2900,2895,2930,2990,2900,3050,3120,3226,3200,3240,3245,3252,3400,3240,3330,3200,3250,3266.5,3250,3235,3199.5,3072,3085,3200,3230.5,3116,3200,3100,3360,3250,3176,3500,3345,3150,3100,3220,3254,3200.5,3203,3118,3224.5,3240,3240,3250,3182.5,3277.5,3345,3342,3450,3486,3450,3402,3392.5,3379.5,3350,3302
"Red Hook","New York","NY","New York-Newark-Jersey City","Kings County",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,2550,2900,2699,2700,2649.5,2750,2825,2500,2500,2800,2800,2500,2472,2799,2750,2800,2775,2400,2600,2600,2500
"West End","Malden","MA","Boston-Cambridge-Newton","Middlesex County",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,1700,1550,1550,1600,1655,1660,1750,1775,1750,1800,1800,1800,1650,1650,1650,1625,1650,1650,1650,1650,1750
"Washington Park","Chicago","IL","Chicago-Naperville-Elgin","Cook County",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1250,1200,1207,1207,1203,1207,1206.5,1200,1200,1275,1250,1275,1253,1251.5,1251.5,1253,1253,1253,1250,1200,1200
"North-East Coconut Grove","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2747.5,2725,2500,2500,2695,2625,2625,2499.5,2499,2400,2650,2845,2890,2945,2600,2600
"Pilsen","Chicago","IL","Chicago-Naperville-Elgin","Cook County",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1595,1600,1500,1550,1550,1487.5,1500,1450,1450,1450,1450,1542.5,1500
"Roscoe Village","Chicago","IL","Chicago-Naperville-Elgin","Cook County",238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872.5,1850,1795,1750,1795,1900,1850,1800,1780,1700,1797.5,1900,1845,1920,1790,1912.5,1800,1950,1900,1947.5,1995,1950,1800
"Chinatown","New York","NY","New York-Newark-Jersey City","New York County",239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722.5,2700,2647.5,2875,2700,2847.5,2950,2950,2850,2725,2600,2658,2635,2635,2600,2672.5,2800,2950,2720,2795.5,2637.5,2500
"North End","Boston","MA","Boston-Cambridge-Newton","Suffolk County",240,,,,,,,,,,,,,,2400,2400,2272.5,2375,2350,2400,2400,2200,2100,2397.5,2400,2425,2550,2400,2395,2300,2500,2600,2600,2495,2500,2600,2650,2600,2600,2500,2500,2600,2650,2700,2500,2500,2600,2590,2500,2500,2500,2500,2550,2550,2595,2600,2595,2572.5,2550,2550,2500,2400,2400,2495,2500,2500,2535,2500,2500,2550,2500,2400,2600,2500,2500,2500,2500,2500,2680,2700,2700,2650,2700,2715,2650,2600,2600,2587.5,2525,2500,2700,2750,2750,2649.5,2600,2687.5,2750,2750
"SoHo","New York","NY","New York-Newark-Jersey City","New York County",241,,,,,,2398,2400,2500,2772.5,2800,2790,2772.5,2795,2795,2841,2695,2725,2845,2967,3072.5,3115.5,3140.5,3200,2950,2995,2900,2995,2897,2850,2885,2825,2950,2995,3100,3195,3150,3200,3200,3200,3245,3295,3300,3300,3350,3395,3377.5,3428,3369,3595,3400,3400,3425,3425,3700,3650,3800,3600,3750,3595,3637.5,3847.5,3700,3595,3597.5,3350,3595,3625,3593,3550,3497.5,3300,3095,3595,3545,3475,3400,3400,3400,3725,3750,3847.5,4172.5,3995,3700,3750,3700,3500,3592.5,3883.5,3700,3800,3800,3700,3998,4200,3997.5,3875
