"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Sunset Park","NY","New York-Newark-Jersey City","Kings County","New York",40,2188,0.00736648250460405,0.00597701149425287,-0.0511708586296618,8854
2018-11-30,"Bullard","CA","Fresno","Fresno County","Fresno",41,1211,0.0116959064327485,0.0142378559463987,-0.0233870967741935,3724
2018-11-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",42,1163,0.0121845082680592,0.0148342059336824,0.0421146953405018,850
2018-11-30,"Borough Park","NY","New York-Newark-Jersey City","Kings County","New York",43,2203,0.00639561443581544,0.00639561443581544,-0.0516573396470082,8881
2018-11-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings County","New York",44,2083,0.0111650485436893,0.0116561437591064,-0.0488584474885845,10523
2018-11-30,"Central City","TX","Corpus Christi","Nueces County","Corpus Christi",45,1133,0.0107047279214987,0.0107047279214987,-0.0332764505119454,1718
2018-11-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",46,3165,0.00380589914367269,0.00476190476190476,-0.000315855969677827,6396
2018-11-30,"Northeast","TX","El Paso","El Paso County","El Paso",47,790,0.00253807106598985,0.00253807106598985,0,1162
2018-11-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",48,2203,0.00136363636363636,0.00273099681383705,0.00731595793324188,10907
2018-11-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",49,1165,0.0112847222222222,0.0139251523063534,-0.00512382578992314,950
2018-11-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",50,2560,0.00986193293885602,0.00946372239747634,-0.00736719658782474,3808
2018-11-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",51,2473,0.0106252554147936,0.0143560295324036,-0.0290537887711033,3114
2018-11-30,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",52,1394,0.0130813953488372,0.0138181818181818,0.00722543352601156,24992
2018-11-30,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",53,2595,0.0113016367887763,0.0160532498042287,0.0176470588235294,5004
2018-11-30,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",54,2171,0.0168618266978923,0.0333174678724417,-0.00412844036697248,4184
2018-11-30,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings County","New York",55,2130,-0.00374181478016838,-0.00513778608127043,-0.0469798657718121,10966
2018-11-30,"South Bronx","NY","New York-Newark-Jersey City","Bronx County","New York",56,1934,0.0184307530279094,0.0221987315010571,0.0303676078849227,2887
2018-11-30,"Soundview","NY","New York-Newark-Jersey City","Bronx County","New York",57,1875,0.0113268608414239,0.0157096424702058,0.0364842454394693,4720
2018-11-30,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",58,3146,0.00286898310487727,0.00318877551020408,0.00127307447485678,4771
