"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-11-30,"Southwest Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",40,1407,0.00860215053763441,0.0115025161754134,0.0180897250361794,20936
2018-11-30,"Borough Park","NY","New York-Newark-Jersey City","Kings County","New York",41,2242,0.00809352517985612,0.00673551863493489,-0.11067036890123,918
2018-11-30,"Bensonhurst","NY","New York-Newark-Jersey City","Kings County","New York",42,2179,0.00229990800367985,-0.00137488542621448,-0.122078968573731,2005
2018-11-30,"Central City","TX","Corpus Christi","Nueces County","Corpus Christi",43,1108,-0.0062780269058296,-0.00894454382826476,0.0306976744186047,25804
2018-11-30,"West San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",44,3839,0.0060272536687631,0.00761154855643045,-0.00595546349041947,16264
2018-11-30,"Northeast","TX","El Paso","El Paso County","El Paso",45,901,0.00670391061452514,0.00895856662933931,0.00111111111111111,24685
2018-11-30,"Elmhurst","NY","New York-Newark-Jersey City","Queens County","New York",46,2359,0.0207702293379489,0.0265448215839861,-0.0383204239706482,1761
2018-11-30,"East","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",47,1364,0.00887573964497041,0.011119347664937,0.0194319880418535,16248
2018-11-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",48,3595,0.0123908758096311,0.0375180375180375,0.0098314606741573,795
2018-11-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",49,2909,0.00692281066112842,0.0139421401185082,0.00206682741991044,1066
2018-11-30,"South Scottsdale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Scottsdale",50,1821,0.0116666666666667,0.0150501672240803,0.00719026548672566,19577
2018-11-30,"Blossom Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",51,3465,0.00260416666666667,0.00376593279258401,0.00668216153399187,13053
2018-11-30,"North Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Long Beach",52,2369,0.0106655290102389,0.0149957155098543,0.0176116838487973,11266
2018-11-30,"Sheepshead Bay","NY","New York-Newark-Jersey City","Kings County","New York",53,2235,0.0136054421768707,0.012686905301314,-0.0881272949816402,4512
2018-11-30,"South Bronx","NY","New York-Newark-Jersey City","Bronx County","New York",54,1955,0.0103359173126615,0.0145303580695381,0.0322069693769799,728
2018-11-30,"Soundview","NY","New York-Newark-Jersey City","Bronx County","New York",55,1913,0.0089662447257384,0.0116340560549974,0.0464989059080963,579
2018-11-30,"Willow Glen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",56,3705,0.000810372771474879,0.00216391668920747,-0.00510204081632653,15732
2018-11-30,"Southeast","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",57,1557,0.00776699029126214,0.0103828682673589,0.00322164948453608,25092
2018-11-30,"Northwest","TX","El Paso","El Paso County","El Paso",58,1344,0.00674157303370787,0.00900900900900901,0.00749625187406297,22904
2018-11-30,"Canarsie","NY","New York-Newark-Jersey City","Kings County","New York",59,2218,0.00864029104138245,0.00909918107370337,-0.0250549450549451,3109
2018-11-30,"White Haven-Coro Lake","TN","Memphis","Shelby County","Memphis",60,776,0.0104166666666667,0.0130548302872063,0.0346666666666667,25260
2018-11-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",61,2960,0.00509337860780985,0.0064603876232574,0.034965034965035,9579
2018-11-30,"Downtown","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",62,3331,0.00210589651022864,0.00391802290536468,0.0109256449165402,8335
2018-11-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",63,3461,0.0122842936531149,0.0164464023494861,0.00874380647041679,9397
2018-11-30,"Logan Square","IL","Chicago-Naperville-Elgin","Cook County","Chicago",64,1921,0.012118018967334,0.018018018018018,-0.049480455220188,4842
2018-11-30,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",65,2452,0.00863842040312628,0.0186954715413378,-0.00365704997968306,17237
2018-11-30,"Lower East Side","NY","New York-Newark-Jersey City","New York County","New York",66,4188,0.0192260890727671,0.0234604105571848,-0.0477489768076398,285
2018-11-30,"Estrella","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",67,1218,0.015,0.0192468619246862,0.0209555741827326,19424
2018-11-30,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",68,2765,0.0094925155166119,0.0128205128205128,0.050531914893617,13341
2018-11-30,"Northridge","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",69,3321,0.00605877006967586,0.00850288490737929,0.00697392359005458,14660
2018-11-30,"Flushing","NY","New York-Newark-Jersey City","Queens County","New York",70,2478,0.00242718446601942,0.00242718446601942,-0.0316529894490035,3134
2018-11-30,"South Ozone Park","NY","New York-Newark-Jersey City","Queens County","New York",71,2189,0.0186133085155886,0.0224194301728164,-0.031844316674038,8587
2018-11-30,"Ahwatukee Foothills","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",72,1672,0.0121065375302663,0.0133333333333333,0.0195121951219512,24827
2018-11-30,"Sylmar","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",73,2713,0.00705270972531552,0.0104283054003724,0.0610089949159171,12063
2018-11-30,"Boyle Heights","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",74,2329,0.0112896222318715,0.0148148148148148,-0.00555081127241674,3899
2018-11-30,"Sharpstown","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",75,1493,0.00134138162307176,0.00201342281879195,0.0268225584594223,7666
2018-11-30,"West","TX","Dallas-Fort Worth-Arlington","Tarrant County","Arlington",76,1587,0.00443037974683544,0.00634115409004439,-0.000629722921914358,22403
2018-11-30,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",77,2931,0.00652472527472527,0.00790921595598349,0.0360551431601273,6480
2018-11-30,"San Pedro","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",78,2902,0.00311095748358106,0.00519570488396259,0.031638819765375,10846
2018-11-30,"North Valley","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",79,3413,0.00352837400764481,0.00441436138905238,0.0115589804386485,9980
2018-11-30,"Evergreen","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County","San Jose",80,3634,0.00748544496811755,0.0100055586436909,-0.0114254624591948,19617
2018-11-30,"Woodland Hills","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",81,3716,0.0106064726679358,0.0136388434260775,-0.0192662971760359,17381
2018-11-30,"Eldridge - West Oaks","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",82,1790,-0.00444938820912125,-0.00500277932184547,0.0205245153933865,11178
2018-11-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",83,4510,0.00804649083594099,0.00782122905027933,0.00579839429081177,12481
2018-11-30,"Pacoima","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",84,2586,0.00271423032183017,0.00622568093385214,0.0525030525030525,8784
2018-11-30,"Murray Hill","NY","New York-Newark-Jersey City","Queens County","New York",85,2521,0.0173527037933818,0.0194096239385362,-0.0292645360030805,5104
2018-11-30,"Little Village","IL","Chicago-Naperville-Elgin","Cook County","Chicago",86,1415,0.00927246790299572,0.0121602288984263,0.00783475783475784,3494
2018-11-30,"North Raleigh","NC","Raleigh","Wake County","Raleigh",87,1600,0.00125156445556946,0.00313479623824451,-0.00744416873449132,25126
2018-11-30,"Southwest","CA","San Diego-Carlsbad","San Diego County","Chula Vista",88,2384,0.0097416349004659,0.0127442650807137,0.0161977834612106,9483
2018-11-30,"Canyon Country","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Santa Clarita",89,2737,0.0107090103397341,0.0148312940304042,0.0289473684210526,11641
2018-11-30,"Mira Mesa","CA","San Diego-Carlsbad","San Diego County","San Diego",90,2633,0.00919892679187428,0.0115251632731464,0.00726855394032135,13509
2018-11-30,"West Anaheim","CA","Los Angeles-Long Beach-Anaheim","Orange County","Anaheim",91,2683,0.0090259496051147,0.0109269027882442,0.00599925009373828,8029
2018-11-30,"Far Rockaway","NY","New York-Newark-Jersey City","Queens County","New York",92,2207,0.0137804317868627,0.0133149678604224,0.00136116152450091,2582
2018-11-30,"Forest Hills","NY","New York-Newark-Jersey City","Queens County","New York",93,2464,0.00735895339329518,0.00859598853868195,-0.12344361437211,4771
2018-11-30,"Cordova-Appling","TN","Memphis","Shelby County","Memphis",94,1294,0.00154798761609907,0.00232378001549187,0.0133124510571652,18637
2018-11-30,"Northwest Raleigh","NC","Raleigh","Wake County","Raleigh",95,1629,0,-0.000613496932515337,-0.00912408759124088,20905
2018-11-30,"Reseda","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",96,2795,0.00975433526011561,0.0148874364560639,0.0367210682492582,10557
2018-11-30,"Ridgewood","NY","New York-Newark-Jersey City","Queens County","New York",97,2325,0.00736568457538995,0.0113092648977816,-0.0210526315789474,662
2018-11-30,"Central Southwest","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",98,1342,0.00224047796863331,0.00224047796863331,0.0120663650075415,18026
2018-11-30,"West Rogers Park","IL","Chicago-Naperville-Elgin","Cook County","Chicago",99,2025,0.0114885114885115,0.00846613545816733,-0.0506329113924051,5173
2018-11-30,"East Village","NY","New York-Newark-Jersey City","New York County","New York",100,4318,0.0167176830704026,0.0244365361803084,-0.0193050193050193,625
2018-11-30,"South Dorchester","MA","Boston-Cambridge-Newton","Suffolk County","Boston",101,2676,-0.00483451097062105,-0.00446428571428571,0.0428682774746687,3915
2018-11-30,"Park Slope","NY","New York-Newark-Jersey City","Kings County","New York",102,2892,0.0111888111888112,0.0115424973767051,-0.0804451510333863,1236
2018-11-30,"Hickory Ridge-South Riverdale","TN","Memphis","Shelby County","Memphis",103,986,0.00715015321756895,0.0123203285420945,0.0292275574112735,11971
2018-11-30,"South Belt - Ellington","TX","Houston-The Woodlands-Sugar Land","Harris County","Houston",104,1453,0.00276052449965493,0.00414651002073255,0.00276052449965493,13557
2018-11-30,"Panorama City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",105,2657,0.00873196659073652,0.0191791331031837,0.0649298597194389,4785
2018-11-30,"Jackson Heights","NY","New York-Newark-Jersey City","Queens County","New York",106,2338,0.0134373645426961,0.0178493687418372,-0.0398357289527721,982
