"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Southwest Colorado Springs","Colorado Springs","CO","Colorado Springs","El Paso County",29,684975,650000,638975,636450,624000,599000,599500,624500,6e+05,624000,649000,649499.5,646370,639999,624000,619500,627000,649900,650000,624900,629000,607500,617250,630000,650000,625000,679000,620500,622000,599950,611999.5,655000,674500,692500,675000,649000,727500,679900,674900,649000,649500,615000,625000,615000,607000,599995,615000,634997.5,620000,589500,599450,605000,625000,642500,630000,549000,549000,537500,565000,599000,599900,574900,599950,599000,575950,607500,610000,6e+05,625000,634500,669900,675000,699500,667500,650000,650000,693750,685000,692500,686150,691150,699500,751500,755000,748000,765000,757000,779000,789000,782000,779000,697000,699900,699900,699900,704950,689000,675000,695000,722000,692000,706950,750000,725000,799000,739000,7e+05
"South Corona","Corona","CA","Riverside-San Bernardino-Ontario","Riverside County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574950,669950,650000,589659.5,624950,650000,719500,719500,740000,699900,624950,614950,699000,729000,696500,686500,680500,670000,679900,719000,713995,775000,654000,689000,694950,669950,739900,824900,774990,729000,729000,689000,737000,699900,774000,814450,799000,839450,782400,760000,749900,669000,674000,674495,749900,634000,649500,719900,697450,719000,719450,716950,777000,819900,823950,888000,825000,819900,8e+05,8e+05,793950,782450,777500,765000,744450,738994
"Hollywood Hills","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4312500,3899000,3924500,3699000,3595000,4200000,3999000,4695000,4497500,4495000,4699500,4447500,4395000,4495000,4497500,4639500,4197500,4595000,4555000,4500000,3895000,3985000,4436500
"Corona Valley","Eastvale","CA","Riverside-San Bernardino-Ontario","Riverside County",32,385000,379900,399000,397000,389900,395000,397000,395000,399700,406600,409500,4e+05,399000,399000,389000,380000,379900,380000,380000,380000,380000,380000,380000,379950,370000,374600,365000,367350,359900,359950,360000,385000,385000,398500,395000,399388.5,418888,419900,449450,459950,459000,477000,5e+05,515000,514500,509450,509900,519450,514900,521499.5,524999,520000,517000,519000,525000,529000,529000,529425,529950,519999,519000,522450,527000,539000,538944,539000,538444,549900,539900,548000,539944,549900,544000,549000,549850,549800,549000,549999.5,559888,565000,564500,570000,568000,568444,569990,559999,566944,578950,575000,596500,597000,609499.5,613000,614000,609000,599900,620000,629000,625000,625000,629950,629000,634944,625000,626500,615000,618900
"Brentwood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6573500,5795000,5950000,5795000,6124000,6499999,6395000,6450000,6495000,6995000,6691944,6472500,5995000,5845000,5895000,5975000,5897000,5897000,5948500,6295000,6295000,6492000
"Greenbrier East","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",34,509200,509450,489500,484475,484475,484475,495000,495000,529000,486450,483900,490000,494500,479495,475000,467900,474450,472450,472000,469000,450185,439900,390000,390000,391900,394900,385400,391900,428925,429412.5,449990,452500,433912.5,408450,438900,465500,454995,440430,448100,416900,450000,432427.5,429900,438565,425000,432400,425000,435312.5,434900,428950,411828,412900,412900,412900,412900,412900,401900,401900,409900,403900,399900,401233,404150,408150,410288,415990,410288,409844,409400,409400,418650,419945,417900,422572.5,417900,419062.5,418725,419900,417162.5,418862.5,434900,429240,429965,425900,434900,427900,421400,425450,434425,442900,442900,439900,436505,437500,437500,434970,434900,437500,437900,439900,444900,447400,455000,450587,462825,450587,440445
"Great Bridge","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",35,464900,465450,464900,459900,455000,459900,479000,475000,481900,479900,479900,477777,469900,469900,462450,449900,439900,429900,429900,422900,419000,422900,399500,405900,411900,414900,403900,405400,404900,421400,428575,419900,405900,409900,405450,399900,399900,427850,410500,429900,441500,439900,439900,429950,425000,417950,411322.5,404400,404400,411900,399900,390900,394950,403900,394450,403400,399900,435500,439900,439900,439900,439894,439400,450581,452665,452665,459900,451840,457628.5,454115,458625,456715,454900,442318.5,449900,443128.5,454956,449900,452777,444148.5,439800,446777,445369,469900,468487,459800,449000,446945,447990,458400,449900,449000,449000,453175,458450,459000,456925,449850,459000,459000,459800,459800,459850,459800,468700,470000,469700
"Westgate","Henderson","NV","Las Vegas-Henderson-Paradise","Clark County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439900,419000,439900,454990,499900,528950,478556.5,490000,487500,536500,530000,490000,492499.5,490000,495000,486500,489900,510000,549900,535000,599000,529000,520000,520000,562500,550000,541944,527475,532419,550000,545000,549500,554000,538000,556950,549000,525000,519500,532450,530000,529945,575000,652990,652990,646445,577000,580990,601490,630000,630000,6e+05,603888,609950,639400,599990,629000,600945
"Pacific Palisades","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5650000,5537000,5442000,5895000,5895000,5185000,5495000,5445000,5995000,5995000,6200000,6200000,5999000,5985000,5990000,5695000,5947000,5695000,5672000,5272500,4999999,5250000,4995000,5672500,5672500,5750000,5750000,6e+06,6750000,5922500,5995000,5675000,6424500,6072500,5475000,5495000,4997499.5,5479500
"Deep Creek North","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394990,390620,393745,416695,411492.5,402400,415400,405900,409990,418180,417990,410895,411192.5,415345,422394.5,421687,418092.5,424742.5,425341,423242.5,423942.5,426083.5,424985,419500,424900,431490,431490
"Lake Houston","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415950,419900,394950,415744,406925,402450,419000,423270,422000,423701,407553,405116,385863,401763,397500,399995,398250,422450,411500.5,426220,413950,424900,439990,429533.5,425000,425000,425000,426270,417872,416917,416917,415844,422990,424950,425000,439900,429167,426270,424990,428353.5,427540,412495,427540,423995,428353.5
"North Stamford","Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield County",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1125000,1050000,1012000,1012000,999000,1125000,1100000,984500,995000,1097500,1100000,999000,987000,995000,1039000,1095000,1095000,1175000,1099000,1099000,1175000,1150000,1100000,1112500,1175000,1150000,1150000,1060000,1095000,1077500,1095000,1022000
"Afton Oaks - River Oaks Area","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e+06,3347500,3335000,3297500,3192500,3335000,3300000,3395000,3370000,3382500,3347500,3369000,3485000,3334500,3369000,3359000,3297500,3325000,3295000,3359000
"Western Branch South","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424450,418400,419700,425000,407870,420200,429999.5,424900,424900,422500,435000,450650
"Beverly Crest","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7300000,6795000,6495000,6225000,5995000,5995000,5972500,5995000,6100000,5795000,5745000,5950000,6495000,7125000,5997500,5895000,5485000,5160000,5150000,5074999.5,4937499.5,5185000,4995000,5231500,5312500,5495000,6091944,5750000,5995000,5750000,5800000,5980000,6097500,6341500,6493500,6744500
"Creekside Park","The Woodlands","TX","Houston-The Woodlands-Sugar Land","Montgomery County",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998849.5,889000,904000,889000,839000,827304,850000,950000,950000,950000,1050000,925000,875000,859950,825000,820000,840000,799750,801269,779000,785000,777000,820000,829900,820000,825000,769000,777000,775000,735000,732495,720000,736685
"Riverside","Greenwich","CT","Bridgeport-Stamford-Norwalk","Fairfield County",45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3595000,3495000,3380000,3245000,3322500,3250000,3180000,3195000,3260000,3222500,3195000,3295000,3624999.5,3499999,3095000,2995000,2995000,2995000,2995000,2995000,2995000,3195000,3195000,3195000,3245000,3147500,3100000,3372500,2995000,2995000,2995000,2995000,2895000,2795000,2775000,2717500
"Arlington-East Falls","Arlington","VA","Washington-Arlington-Alexandria","Arlington County",46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689732,1692450,1695000,1698507.5,1688635,1688635,1599000,1598875,1668853,1668853,1649999,1668852.5,1689564
"Godley Station","Savannah","GA","Savannah","Chatham County",47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290531.5,284844.5,285000,287700,288000,287000,284400,282400,287850,293900,293900,293900,293400,293900,294307,297900,295950,296600,295900,293900,293650,296400,294650
"Big Sky","Gallatin Gateway","MT","Bozeman","Gallatin County",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000,3500000,3500000,3200000,2999000,3175000,3175000,3100000,2995000,2750000,2750000,2950000,2995000,2950000,2995000,2999000
"Orange County Great Park","Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005576,2049900,2090670,1983950,2017470,2062990,1958888,2092072.5,2059572.5,2030995,2025662,2039990
