"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335000,339900,343700,345000,340000,339950,329000,335000,323000,325000,329950,336500,349000,355000,345000,349000,345000,324000,336950,369900,374500
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,109650,105900,99900,92250,92000,89900,92000,89900,88949.5,84945,83700,79000,80000,84400,80000,77200,74900,72900,69950,72900,74000,72900,69250,70000,69999.5,69500,69900,67450,70000,75000,77000,70000,75000,74999,70000,73250,74900,75000,76500,79000,84900,84900,80000,89894,89900,95000,97000,99000,103000,1e+05,104500,99900,99900,105000,1e+05,106450,110000,115000,113500,115000,117000,119900,120000,119900,125000,129894,139000,139000,134900,134900,136500,133400,129894,140750,149000,145900,135000,135000,129900,139000,159500,154000,149900,157000,159000,160000,159900,160000,160000,160000,170000,172250,185000,175000,177500,182495,184999,175000,175000,175000,180000,189500,197700,185000,175000,179950,179000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",3,179900,179900,185000,185000,180900,184500,183750,185000,195000,189900,190000,189450,190000,189225,190000,189450,189900,195000,198750,195136.5,189000,189000,189900,187200,185000,189900,190000,190000,194900,190000,199000,199000,199000,199900,207000,209450,219000,219900,219900,225000,239000,249000,250000,255000,250000,259000,265000,250000,250000,259925,272000,274500,274500,279900,295900,299900,296250,289000,295000,299000,299000,3e+05,299000,310000,310000,299999.5,3e+05,304950,311500,310000,311000,313000,319800,325000,325000,325000,325000,339000,349900,350000,351250,350000,351250,350000,367000,362500,376000,379000,379950,383926.5,399995,402500,399900,405000,425000,427450,439900,435000,435000,450000,452500,465000,455000,450000,450000,450000,450000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,1404736.5,1361500,1341500,1375000,1375000,1375000,1350000,1342000,1350000,1325000,1350000,1333000,1350000,1250000,1349500,1350000,1399500,1475000,1485000,1496500,1496500,1495000,1485000,1475000,1450000,1447000,1445000,1445000,1399000,1449000,1470000,1485000,1450000,1400000,1495000,1499000,1495000,1495000,1495000,1450000,1425000,1450000,1425000,1395000,1398000,1495000,1550000,1612500,1725000,1675000,1750000,1740000,1595000,1595000,1650000,1625000,1687500,1850000,1895000,1900000,1892500,1895000,1890000,1937500,1895000,1800000,1897500,1881500,2e+06,1995000,1975000,1975000,1999747.5,2e+06,1872500,1995000,1937500,1875000,1850000,1895000,1800000,1825000,1895000,1875000,1975000,2100000,1995000,2100000,1975000,1995000,1995000,2100000,2170000,2165000,2170000,2165000,2112500,2165000,2215000,2100000,2125000,2157500,1995000,1995000,1999999.5,1997000,1990000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,74900,74900,80000,80000,78800,77000,75000,75000,74000,70000,70000,69150,69500,67000,66700,66950,66000,65000,64950,64900,65000,64900,62000,60500,62000,65000,65000,65450,67900,69900,68000,69838.5,72900,72500,74995,74945,77500,79900,82000,84900,86370,89900,88000,94950,92250,94900,95000,95000,92000,94900,95000,95000,99900,99900,98900,1e+05,99700,99000,99500,99500,99500,99500,99949.5,104949.5,109900,111500,110000,109950,110000,110000,110000,111500,119250,125000,128880,123000,118900,124900,128000,125000,125000,129000,125000,125000,129900,132500,144900,148000,149999,150000,164900,157000,159000,158500,176000,175000,175000,170000,175000,173000,174900,168000,172950,179950,180000,180750,177000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",6,145000,150000,149900,140000,140000,147000,150000,150000,150000,150000,149900,150000,150000,155000,150000,150000,149990,150000,150000,150000,149000,150000,144900,149000,149900,150000,154950,159000,167400,162000,159000,160000,160000,169950,186500,188000,188000,177900,188000,185000,180000,197000,205000,215000,227400,221950,221500,219000,224900,222450,229000,229500,237500,239000,239990,249500,255000,242450,250000,259900,254950,262500,265000,250000,250000,254900,259000,264950,269950,275000,277450,285500,295000,295000,295000,295000,294500,299000,290000,294500,290000,299450,299900,3e+05,3e+05,309900,324950,325000,325000,325000,325000,325000,325000,330000,339900,339900,339900,346000,346000,349900,340000,349999.5,365000,377500,386000,387000,389444
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,129900,123450,119400,117447.5,115900,117700,114950,114700,115000,116400,116900,117000,107500,114900,110000,109500,104900,110000,104900,109000,103000,102750,103000,103000,103000,103500,1e+05,1e+05,103000,104900,103500,108500,104000,107500,105750,102450,98250,96900,109900,108000,104500,107750,106000,112450,121950,119000,114950,114900,113450,109900,110000,108400,112500,114500,117500,127499,128500,121250,122250,121000,137450,145000,120500,124950,125000,135400,131250,132500,129450,131875,136900,136900,149900,149000,149700,152450,156000,149900,149900,165000,165000,160000,160000,160000,159900,165000,166750,169900,179950,175000,175000,176500,189000,191000,194000,190000,189950,2e+05,189000,183000,189900,184000,179900,179999,194900,194950,202500
"Bedford Stuyvesant","New York","NY","New York-Newark-Jersey City","Kings County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000,749500,795650.5,799000,845770,849000,850000,849000,825000,825000,875000,899000,899000,899000,899000,899000,915000,904000,901500,899000,899000,845000,825000,850000,859500,879000,849500,837000,849000,849000,886500,880750
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1401540,1383000,1372500,1390800,1390000,1397000,1390000,1370000,1375000,1395000,1380000,1400000,1400000,1395000,1393125,1382500,1380000,1391250,1395000,1395000,1400000,1417500,1432500,1441875,1450000,1420000,1425000,1395000,1395000,1395000,1395000,1395000,1395000,1375000,1349000,1340000,1300000,1315000,1300000,1327000,1295000,1295000
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399000,429500,419000,439000,459750,537500,499000,549000,529000,495000,484450,499900,510000,529000,599000,587000,575000,615000,699000,677000,612450,695000,694495,689990,674990,695000,675000,699495,674995,662000,691500,665000,699000,699000,699000,734250,660000,634000,599500,659499.5,639999,689500,745000,766500,758000,747000,699000,699000,725000,735000,749000,739000,749000,749000,780000,799000,755000,789000,769750,809000,849000,829500,839000,769000,799000,799000,799000,859000,904500,927000,929250
