"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,349900,359000,349000,338000,333900,325000,315000,3e+05,305000,309450,302000,299000,295900,298000,299900,299900,319000,319450,310000,304450,298000,298500,282000,295000,286500,292450,299900,325000,339000,345000,349519,329000,317000,309900,315750,299945,299775,289000,299900,349000,357991.5,355000,356983,382229.5,352450,342500,373700,370750,360500,369000,379250,384900,389000,379500,425000,399000,425000,427000,434900,439000,441450,460000,495555,515000,485550,489450,482450,469700,455000,462011,475000,475000,465000,449900,475000,499441.5,513750,502883,499499,499000,505000,542500,527450,519450,499900,514900,549900,544500,530000,532450,545000,510000,499450,489000,488750,5e+05,535000,539500,549700,549000,545000,525000,519000,499000,5e+05,525000,529500
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",2,177000,180000,180000,178950,179000,175250,174800,167100,165300,160000,159000,154999.5,152450,150000,149900,149900,149900,149000,145000,149900,149900,149945,150000,150000,147000,147000,147250,149900,159999.5,160000,155000,155000,161500,165000,169900,169999.5,169547.5,168900,170000,175000,178000,183620,189900,199900,203000,205900,2e+05,2e+05,209950,214950,215000,218000,219900,219900,234900,235000,235000,235000,239900,242000,249900,249900,254900,252000,254900,254894,249999,250000,255000,254745,255000,255000,259888,249999,254900,260000,268490,266944,265000,275000,278999,279900,279900,279900,279900,279900,283950,286249.5,289888,291000,299900,299999.5,306000,309999,309900,309969.5,309500,310000,315000,320000,320000,324900,330000,339950,345000,339394,347000
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6250000,6250000,6362500,6362500,5275000,5160000,5195000,5750000,5300000,5325000,5410000,5300000,5350000,5250000,5687500,5375000,5200000,5410000,5410000,5470000,6e+06,6367500,6075000,6e+06,6361500,6500000,6650000,6547000,6712500,6999999,6999999.5,6594000,6650000,6350000,6550000,6612500,6612500,6562500,6517500,6575000,6562500,6500000,6467500,6250000,6250000,6286500,5995000,5985000,6024999.5,5999999,5685000,5450000,5475000,5868500,5950000,6287500,6525000,6875000,6850000,6950000,6999999,7100000,7050000,7050000,7045000
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7125000,7125000,6522500,6950000,7275000,7312500,6595000,6550000,6975000,7250000,7325000,7262500,7287500,7890000,8050000,7992500,8450000,7967500,7750000,7840000,7877500,8337500,8300000,7500000,7860000,6887500,6947500,7895000,7950000,7950000,7725000,7855000,7297500,7500000,6950000,6875000,6625000,6495000,6473000,6451000,6352500,6350000,6377000,6475000,6500000,6685000,6737500,6820000,6655000,6500000,6497500,6272500,5992500,5998000,5550000,5600000
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",5,116500,117745,119900,117450,117525,117525,119000,114900,110000,109900,107500,1e+05,99000,94900,95000,94900,90000,89990,87750,89945,90900,90900,94900,94900,95000,94000,94000,95000,96500,99999,99000,99900,105000,110000,110000,115000,115000,119900,120000,120000,120000,129949.5,129999,139450,145000,140000,145750,145250,139025,136250,145000,149990,151995,154990,154990,154995,154995,155300,155000,159997.5,164000,160500,165000,164000,169000,169900,169000,170000,170000,170000,170000,169950,174500,179900,181450,180000,179000,184450,185000,189945,189999,190000,189900,189700,191500,199900,205000,215000,219000,220000,226450,224950,225000,224000,220000,222000,228900,242495,239900,244995,250000,248950,250000,270000,265500,257000,251000
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261250,269125,260500,250000,265000,259900,265000,266950,270000,274900,289000,289000,289000,295000,299825,299000,299000,304975,307594,300857.5,305000,308495,309725,310000,310990,311009,309900,309865.5,314900,314700,314900,314815,319900,319695,317950,316900,316000,319000,312684,320000,324888,325000,328615,334400,344850,345000,349900,349990,351000,350000,359900,369894,350000,350000,359900,369900,368995,374999.5,379000,374900,370000
"Far North","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",7,380000,379000,367500,349000,349900,349900,340000,334900,329900,324950,339700,334450,330000,324900,328800,342449.5,339000,325000,329000,329375.5,324900,332450,320000,327375.5,340000,346500,349250,344900,349000,348000,349900,349900,359000,359900,359900,360500,350000,359945,361995,359900,369900,385000,389500,375000,365000,361244,369000,372000,371000,375000,389000,414900,406500,406249.5,406500,410000,420000,415000,415000,399900,399900,410950,439500,457900,449000,449900,435000,445000,451393,450000,450000,458886,469900,495000,497450,479900,477500,475000,472000,450000,479900,479900,479450,487000,499000,515000,515000,535000,525000,525000,500995,522400,499000,5e+05,499999.5,517450,519900,520945,519900,529950,529450,524950,529000,523999,525000,510000,5e+05
"East Side","El Paso","TX","El Paso","El Paso County",8,192450,198300,210000,198500,198500,197750,195000,207575,205250,195635,190000,188450,189975,189900,180000,189950,185000,189900,183750,186725,187950,184900,182100,183725,179900,180975,180000,184450,180450,173990,171750,174495,180225,184900,184900,184900,182450,184900,176725,176950,179900,179500,179250,179250,179000,187000,189900,187900,190000,190750,190000,193500,192575,190750,188950,191850,191500,189000,189000,189000,191250,188950,189000,191125,195000,194950,195250,193475,189900,189500,192500,186975,193000,193000,193700,192950,193000,192975,192950,192950,193450,193450,192950,191950,189900,191200,191350,190550,192950,191975,194900,196950,196950,196950,193850,196950,199947.5,196000,199972.5,199890,201400,192950,198477.5,195500,195424,191450,189975
"Southeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124700,117450,115000,117000,115000,117500,115000,121500,126200,125000,123000,123990,123000,123950,123000,127450,137000,137000,140000,139900,140000,164250,172900,168950,165000,172900,169900,169950,175000,184900,187900,191450,194900,187900,184950,180950,194900,195900,196900,196900,196900,198900,198900,199900
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",10,215475,219900,225000,222500,219350,214995,204900,2e+05,200150,199000,198900,194900,194900,191200,189000,185000,185000,192000,194900,189999,189900,185000,185660,189000,190000,195000,196000,198000,2e+05,205995,199900,199900,199900,207000,214900,215207.5,232750,232500,239900,245000,249900,264900,274975,274975,275000,276950,274950,280000,280000,285000,290760.5,291486.5,299900,304250,310000,314975,303741.5,303641,299999,305000,305000,304874.5,306495,319990,324999,324974.5,324999.5,329450,325000,326950,328450,325000,337900,335597,350000,354950,354851,345000,340250,342967,345000,349694,349900,350000,349999,349999,358000,350000,351000,355000,365990,375535,385833,384888,379900,392990,399500,402350,393945,399500,399000,399500,399900,399894,414500,405000,404914
