"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Tule Springs","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",251,,,,,,,,,,,,,,,,1470,1450,1350,1295,1262.5,1300,1250,1295,1250,1197.5,1250,1250,1250,1272.5,1295,1285,1300,1295,1295,1250,1250,1250,1275,1250,1200,1212.5,1300,1300,1300,1300,1300,1340,1295,1295,1295,1250,1295,1300,1350,1350,1329.5,1347.5,1350,1325,1300,1312.5,1350,1350,1295,1350,1395,1362.5,1395,1395,1350,1395,1400,1325,1337.5,1295,1400,1350,1362.5,1325,1295,1350,1395,1295,1492.5,1490,1450,1495,1400,1450,1495,1495,1495,1450,1499.5,1497.5,1495,1500,1550,1550,1565,1550,1550,1577.5,1497.5,1550
"Streeterville","Chicago","IL","Chicago-Naperville-Elgin","Cook County",252,,,,,,,,,,,,,,1720,1659,1672,1750,1845,1805,1846,1861.5,1940.5,1900,1945,1900,1950,2185,2185,1950,1938,1904,1850,1687,1722,1790,1902,1850,1846,1950,1982.5,2048,1980,1980,2028,1980,1980,1957,1953.5,1953.5,1953.5,1953.5,1972.5,1961,1980,1980,1972.5,1982.5,1985,1982.5,1957,1972.5,1972.5,1972.5,1965,1961,1957,1957,1980,1980,1980,1980,2006,1985,1985,1985,1980,1980,1965,1953.5,1980,1980,1961,1980,1965,1980,1980,1980,1961,1961,1965,1965,1972.5,1972.5,1965,1965,1961,1965,1961,1957,1961,1972.5,1980,1980,1985,1985
"East Tampa","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,995,995,995,1050,1100,1100,1100,1100,1100,1100,1150,1197,1150,1150,1145,1100,1150,1200,1200,1195,1150,1100,1184.5,1148.5
"Greenbrier West","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1450,1420,1397.5,1425,1495,1495,1395,1380,1330,1295,1300,1400,1550,1550,1550,1542.5,1722.5,1695,1595,1468,1472.5,1550,1495
"Five Points","Toledo","OH","Toledo","Lucas County",255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,797.5,792.5,762.5,780,785,795,800,800,800,795,795,797,775,795,795,797.5,800,795,790,800,800
"Southeast Raleigh","Raleigh","NC","Raleigh","Wake County",256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1295,1295,1322.5,1347,1325,1325,1300,1300,1295,1295,1295,1350,1350,1375,1370,1350,1350,1330,1350,1305
"Stapleton","Denver","CO","Denver-Aurora-Lakewood","Denver County",257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2402.5,2435,2375,2400,2397.5,2399.5,2472.5,2400,2395,2325,2375,2495,2622.5,2500,2500,2495,2475,2415,2395,2382.5,2450,2472.5
"Braeburn","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425,1495,1500,1600,1600,1600,1537.5,1550,1595,1585,1545,1500
"Hartranft","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1325,1550,1600,1500,1500,1500,1425,1350,1200,1400,1600,1600,1800,1600,1557.5,1600,1550,1450,1350,1400,1350,1450
"Kingesessing","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,1000,1000,1000,1000,950,962.5,1025,1100,1000,975,1000,1000,1000,1050,1090,1050,1100,1100,1050,1100,1100
"Prosperity Church Road","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,1350,1379.5,1369,1400,1497.5,1582.5,1575,1450,1427.5,1450,1440,1445,1535,1450,1512.5,1535,1480,1410,1495,1450,1427.5,1540
"Ost - South Union","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1250,1200,1225,1225,1285,1200,1200,1150,1185,1197,1200,1250,1250,1250,1200,1189,1200,1262.5
"Western Branch North","Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295,1425,1422.5,1400,1497.5,1472.5,1450,1450,1525,1395,1500,1397.5,1397.5,1400,1400,1372.5,1395,1372.5,1495,1495,1395
