RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
15046,Alafaya,Florida,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262300,265300,267600,263600,266e3,266900,268800,271200,278100,280300,277400,271500,270700,271900,273500,280800,281900,280600,282e3,281800,284500,284800,286200,290900,291e3,297600,299300,304700,308100,31e4,311900,308800,310800,312e3,321400,328e3,326200,319900,313700,316900,324600,329200,332200,328e3,327300,327500,332700,338200,341900,344900,345500,348700
267900,Ahwatukee Foothills,Arizona,17,,,,,,,,,,,,,,,,,,,,,,,,,,,330300,335e3,311600,314900,309600,309900,299900,289400,294400,287200,289100,297800,296600,296300,282900,283600,283500,281500,282200,276400,280600,283500,290300,298900,294800,300300,295300,303900,308200,316800,321800,308300,315600,327700,339900,334900,328900,333e3,337e3,336100,350700,344400,351600,351100,361900,359900,353700,350300,359600,353500,356300,351900,360200,365800,355500,355700,355500,371400,364700,369300,362400,368400,367600,377800,376300,367900,358800,353900,351e3,347500,366900,383200,385500,376500,376100,384200,383100,390800,399100,401500,395800,389600,392300,388400,396900,399300,396800,387500,380100,384800,394400,414200,420200,417800,408100,408500,402e3,413e3,405600,411500,408200,416400,431e3
275950,West,Texas,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276500,291600,291600,277e3,285800,280200,281300,273200,270700,271200,272800,289600,296800,298800,283700,292900,283300,300300,312300,319500,341400,323900,340800,320800,318100,302800,303700,310600,316500,314200,316400,337500,333500,351200,334200,341100,338300,346400,373700,365200,375e3,376800,388100,374e3,347100,352800,366800,376800,357900,356e3,363600,379100,389300,381800,
48570,Woodland Hills,California,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908400,907100,890700,888800,905100,930800,930600,911100,899400,896900,915300,912700,931600,938300,955600,943700,982300,996900,1010500,976400,982500,1043600,1077200,1058900,1027300,1041900,1058600,1081100,1059800,1080600,1062700,,,
27080,Sherman Oaks,California,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131100,1105700,1112900,1140800,1170900,1182e3,1186700,1204200,1155e3,1224e3,1212200,1250800,1192100,1209300,1225800,1243800,1214200,1240500,1220300,1265500,1260900,1349500,1351800,1368300,1350200,1333200,1380100,1445500,1481900,1403100,1320700
270318,North Raleigh,North Carolina,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398100,389e3,387400,387100,397700,410500,411e3,413700,408700,406200,411800,410100,417800,415800,419200,424100,432e3,435300,425200,419200,425500,429800,44e4,425500,421400,417e3,434300,450500,462e3
273348,Cordova-Appling,Tennessee,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206500,200500,198800,193100,199200,197700,201500,197200,199e3,193600,194700,199e3,216200,222200,219800,212800,210700,215100,216300,222300,222e3,221e3,218900,216900,210700,221e3,225900,230200,239e3,243400,242100,221700,207100,206600,207400,221500,224100,227700,227e3,237800,242600,238100,231500,229400
343868,Northwest Raleigh,North Carolina,23,377600,383400,372800,380600,387e3,380800,373100,354300,386200,421900,429600,423500,373e3,383400,360700,384200,360800,372800,357800,353800,340800,351400,361500,376800,369800,354500,345500,342300,347700,351900,367800,376700,362400,360600,353300,384900,369600,351700,317600,309700,341600,338600,365500,352700,365e3,345e3,331200,336200,347700,361700,362900,353500,353100,335700,327200,343900,354e3,364500,352600,344700,343700,326e3,331300,349e3,370400,374e3,347900,342900,340200,354600,354800,359e3,356700,372500,370800,373400,362300,379300,391100,412700,401400,393500,368e3,38e4,385500,395200,391700,384200,388300,396400,394800,383300,379e3,377400,395300,397600,397400,384e3,385e3,397900,404800,388300,384200,383800,408e3,442700,443800,437e3,410500,424600,431900,429800,417500,412600,433200,446500,441900,44e4,430400,455700,444500,462200,450700,451600,449100,436800,444100,433800,456300
232166,Clear Lake,Texas,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290300,295200,309800,321700,329600,312100,308500,308800,306200,308500,305100,316500,332600,328900,322400,303500,302e3,309900,321800,323100,318800,314e3,315e3,320400,316700,327100,317500,324900,306300,315500,326e3,332700,346100,346100,369700,388e3,394500,391200,366400,354400,355e3,350400,346300,333200,334e3,344e3,358300,378700
246678,Princess Anne,Virginia,25,388600,387400,394900,386500,400400,378600,364600,354900,381200,388500,395300,380300,388400,372100,374100,364400,375e3,375900,373800,378500,377700,363300,345e3,330600,333700,337300,338600,356e3,366200,373e3,373400,382700,381e3,368e3,366800,359200,353e3,323e3,335800,342800,369e3,365900,377200,367300,364600,347200,346600,336600,343500,335300,343400,344300,345700,345e3,335400,331800,335900,357500,366900,351500,330100,338300,356e3,370700,363900,365400,365600,374400,390700,386800,375e3,349200,350600,350400,353400,349800,348500,343800,343300,341e3,344800,348500,356200,352600,349600,333300,336300,342200,352600,347200,345200,348600,353900,355900,355900,365800,369400,366700,354400,353700,367400,375e3,372100,378300,376900,378200,364400,366e3,365500,365100,364300,366300,383600,387100,395700,382100,394600,381700,381800,368100,367200,369200,365600,380700,397200,414e3,409300,392300,385900
