"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.091494845361,97.9381443298969,97.5,97.0459952418715,110.911859458371,111.458333333333,103.958333333333,99.9327956989247,101.675257731959,101.298701298701,99.99,102.393162393162,100.877192982456,99.7916666666667,115.233623219491,112.511318956273,110.38961038961,125.270562770563,129.793304994687,123.605207226355,121.752650747496,120.12987012987,122.470713525027,137.029631837072,140.449438202247,142.640692640693,144.766505636071,148.187035069075,148.658873538789,139.705882352941,129.82583982684,129.65367965368,138.031880977683,134.241245136187,134.98367259354,147.190931633015,170.552359646319,164.356287393996,162.933304333416,157.80998389694,161.882716049383,159.420289855072,146.861994688082,149.350649350649,145.325273380534,138.970588235294,149.350649350649,147.186147186147,158.823529411765,148.19587628866,147.626614614918,154.574742268041,161.764705882353,159.79381443299,172.580516263086,173.108102064092,179.49877246969,196.622455558626,198.439716312057,196.622455558626,189.903846153846,187.234042553192
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1691.65885660731,1677.6007497657,1590.68384539148,1733.83317713215,1634.14229757859,1719.77507029053,1726.80412371134,1712.74601686973,1735.58215451578,1747.89128397376,1766.050948131,1773.48190703392,1776.00749765698,1776.00749765698,1776.00749765698,1790.82154005872,1832.40223463687,1792.70946681175,1810.02131235761,1771.87468497822,1784.54842219804,1784.54842219804,1822.08605664488,1869.80609418283,1846.19529167794,1826.51622002821,1871.95080396551,1825.21087160262,1774.36738519213,1825.21087160262
"Upper East Side","New York","NY","New York-Newark-Jersey City","New York County",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414.63414634146,1413.7642610994,1395.3488372093,1325.26729559748,1331.66666666667,1404.10284125134,1410.37306642402,1410.92816000627,1411.48325358852,1359.42605781315,1317.68181818182,1414.02799662665,1406.42939150402,1316.68096054889,1244.09733823366,1244.09733823366,1232.7380952381,1244.78442280946,1148.53896103896,1163.84615384615,1354.69541231127,1382.48847926267,1388.01124074616,1411.29032258065,1382.03371331555,1396.8253968254,1382.03371331555,1363.15789473684
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9033391915641,93.4567757009346,95.7583547557841,95.2810109131473,95.7263996001142,93.708374958375,95.7907252894399,92.7152317880795,92.1375921375921,97.1428571428571,96.8304042179262,96.0769230769231,97.9357702593064,97.3053892215569,97.629009762901,97.2789203084833,99.6010638297872,100.008787346221,101.986754966887,102.698145025295,100.897867564534,99.2510813654431,101.010701545779,102.043795620438,103.225665266106,106.13837234558,107.445255474453,107.530282637954,109.857142857143,113.404255319149,106.944444444444,106.944444444444,106.597222222222,109.311740890688,113.185124674213,115.972222222222,115.378421900161,117.300698105839,122.895622895623,126.811594202899,126.763461335026,127.56200351707,134.678787878788,139.154507931315,141.76245210728,141.76245210728,147.142857142857,150,156.760869565217,156.689440993789,154.285714285714,156.857142857143,163.900414937759,164.285714285714,165.836791147994,166.002227909327,171.285714285714,172.413793103448,172.566803950907
"Astoria","New York","NY","New York-Newark-Jersey City","Queens County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.0395256917,1081.81818181818,1078.26086956522,1076.60149750416,1075,1080.04539320329,1081.81818181818,1078.26673707681,1085,1086.35964912281,1085,1085,1086.76470588235,1095,1095,1109.78260869565,1148.76033057851,1148.76033057851,1137.93103448276,1134.48275862069
"Williamsburg","New York","NY","New York-Newark-Jersey City","Kings County",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171.26414263656,1175.86515297953,1181.87429500564,1179.50797390359,1177.82805253821,1191.38213734568,1193.8202247191,1205.26333569812,1199.47848761408,1207.50401284109,1207.86516853933,1207.86516853933,1211.91135734072,1217.8507461,1216.50879566982,1216.77366761179,1235.95505617978,1237.93049819992,1226.75644222776,1225.33333333333,1228.17955112219,1228.75816993464,1228.93258426966,1236.22077133313,1304.42290531065,1294.69357994513,1305.3794188434,1304.02384500745,1302.11081794195,1321.16681325125,1325.22123893805,1343.68966122521,1338.55240209291,1356.8281938326,1381.6985645933,1374.34554973822,1378.30641385768,1355.51175853941,1368.42105263158,1265,1221.8086521356,1213.78522182254,1240.04191507641,1214.02877697842,1232.59542614398,1185.81770634009
"Enterprise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.576875768758,181.061446655221,180.301661645747,190.002038570741,195.593635250918,195.593635250918,196.249700888469,190.007793207703,194.956949569496,196.90576652602,195.571955719557,205.169828851372,208.499331364573,211.380313156019,209.923664122137
"Lower East Side","New York","NY","New York-Newark-Jersey City","New York County",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434.60121270087,1434.60121270087,1419.46697566628,1412.18305555648,1419.46697566628,1419.46697566628,1607.29431721798,1622.03389830508,1765.74307304786,1788.68552412646,1777.4343122102,1920.86330935252,1891.02564102564,1825.6880733945,1837.5048933255,1886.64855458484,1933.90804597701,1931.70222442735,1944.64462912429,1945.32374100719,1960.11164499717,1961.20689655172,1962.67737191462,1955.76718952707,1965.34772182254,1991.36690647482,1999.26793557833,2002.8818443804,2000,2005.31197803775,1994.05342624855,1999.26793557833
"East Village","New York","NY","New York-Newark-Jersey City","New York County",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920.83117324228,1958.01700718246,1955.9748427673,1960.05917159763,1867.59619971379,1768.19494950775,1761.24197002141,1785.39518900344,1785.39518900344,1782.68284068081,1804.12371134021,1779.63576333583,1801.07663399523,1856.25,1783.63016294051,1783.63016294051,1762.45692251071,1782.86852589641,1783.63016294051,1798.02955665025,1842.69125050187,1874.40248565966,1856.25,1854.48158914729,1868.30835117773,1856.25
"Little Havana","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.673499267936,380.673499267936,340.767045454545,315.929327870464,308.245568969946,302.816901408451,288.345387641162,295.774647887324,321.026193575882,340.909090909091,348.011363636364,336.538461538462,338.723776223776,337.091069849691,337.64367816092,342.032967032967,299.588833984807,301.845637583893,301.845637583893,278.404752815423,266.129032258065,276.536312849162,253.53464481453,216.429699842022,228.276877761414,228.276877761414
