RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
274451,Mayfair,Pennsylvania,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159600,158100,158900,159400,161100,160800,163100,163200,166500,171300,173300,171900,169900,173100,174800,176500,176600,180400,183300,184500,183800,186400,190600,193500,191200,192500,193500,196300,197600,199700,
37835,Chatsworth,California,122,549800,525300,511100,510800,508600,492700,486100,471200,466100,461e3,469200,487100,485700,482700,453100,431900,418800,420100,431200,422e3,419300,432500,432400,423900,421200,415300,427300,414700,432400,433900,437600,434700,414300,420100,409800,411900,393100,384700,394100,407600,402300,404700,397800,423600,420400,408400,388e3,377300,370800,379100,383500,391700,397600,419400,440800,426400,411400,405400,424500,437e3,439500,436300,434e3,447700,457200,464200,449300,466500,476500,471800,453300,453800,476500,493200,501400,504300,504800,501600,504100,502400,507400,508900,513400,513500,512400,520400,521600,532900,534200,549200,546500,552200,545400,546600,556400,564600,608500,601300,609700,578500,581400,578400,588400,597600,603500,608700,607900,613700,633300,638600,643200,617900,620900,624800,640200,644800,635900,626200,629200,657600,680700,681600,675e3,662500,676400,661100,663500,,
6952,Saugus,California,123,527900,511800,491300,458800,460200,465100,470500,461600,446100,458100,459700,456e3,430200,431500,432500,430300,414100,402600,401e3,407600,411400,413e3,413500,415600,417200,406200,399200,390900,393200,406800,415300,426700,424e3,430600,415100,393600,368800,373800,375500,379800,374800,378600,371400,362700,363500,368900,362300,355400,349600,364900,370400,378300,370800,374e3,386100,394300,389800,387100,394900,405800,403800,399e3,405300,416100,431700,438600,444e3,443500,446500,436500,433600,432500,457400,468100,470900,456100,453e3,455900,470400,463100,469700,471600,499500,503200,509600,511600,518300,521e3,514300,508300,502300,506300,513300,525300,526e3,534700,536e3,538e3,526e3,523600,525400,541900,538600,550600,548700,557e3,549800,555e3,551600,557e3,566500,577100,585500,581100,585800,579200,602e3,614e3,620400,627600,620200,634900,636200,643800,659900,647100,659200,656700,655400
113736,Berryessa,California,124,,,,,,,,,,,,,,,,,529200,533600,534400,565300,585400,588800,571300,561800,560900,571700,573e3,565700,554600,557200,569100,589900,586900,593500,573300,571300,546500,530100,522500,517100,524700,533900,557500,573200,571800,568100,553900,552300,536e3,525300,519900,533e3,554e3,57e4,580300,579100,578700,590600,613300,637500,669800,657500,674e3,655e3,676700,665100,68e4,684700,683100,685200,709900,719600,720200,713100,716600,725300,718900,731400,730100,761500,775100,787500,775e3,819e3,836700,836400,814500,827700,870400,888500,900500,886200,890300,879700,908200,912100,913200,905700,900900,895200,901700,898400,925e3,923900,933400,953200,957e3,965400,965300,1002400,1007300,1042e3,1039100,1066800,1052500,1073800,1097900,1147100,1154200,1234900,1278700,1308300,1293400,1248900,1266600,1235500,1227800,,
116035,La Sierra,California,125,,,,,,,,,,,,224200,213900,212400,210100,221600,210800,212900,207e3,207300,214e3,205100,207300,195700,191200,198400,203600,209500,203200,202400,205600,211900,207400,209600,197800,189600,188e3,194500,204300,204e3,202100,203800,204800,198800,197400,193200,196600,187800,188600,197100,204200,205600,203900,214700,211300,212400,211300,221800,228100,218500,213e3,216e3,224800,238100,238600,254100,257400,265700,27e4,278300,276e3,267100,263500,265e3,268900,273100,280700,285900,293900,297e3,301800,299200,299300,278600,285700,287500,315500,302600,307300,301300,311800,311700,314600,318600,323200,325e3,326400,328600,332800,330200,331300,326600,330700,328500,332400,331900,336500,344500,347600,350600,348600,358600,356e3,367400,363100,365300,364e3,372500,376200,363600,352700,363400,375900,384300,382600,383500,384e3,,
273809,Gateway - Green Valley Ranch,Colorado,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204700,204100,199100,200600,198800,195300,189400,191200,188900,189700,198200,204900,216e3,209600,203300,192500,191100,196200,202300,211700,214500,213800,210300,218200,221800,228100,223300,222700,220700,225600,226700,225900,226e3,229e3,232100,229700,227400,226900,228500,230800,232500,233800,238800,239500,240300,237800,241700,247200,251100,258300,264100,270400,270800,270800,271900,274600,276600,280800,283800,291200,299600,300100,304100,304200,309700,309200,311400,315400,320400,321500,322200,319500,325e3,326800,332400,331800,337600,343200,345600,352300,356400,359700,362500,357100,360700,354900,362400,365300,368300,373800,377300,387500,382400,380200
275500,Southwest Colorado Springs,Colorado,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237700,231e3,227600,226900,230800,235300,231500,234900,234400,239900,236700,239600,238900,243e3,245700,248100,246300,243400,240300,235700,240300,245700,253200,256500,257400,260900,259300,260600,263800,266e3,272900,276800,285100,285100,293600,291300,299100,295400,303200,302700,301700,298100,295e3,288e3
269614,West Lawn,Illinois,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157100,177400,170600,179400,154900,156900,150900,152e3,158e3,154700,152500,146200,151500,158600,160100,157200,16e4,158300,161800,157900,168700,164600,165100,161200,165e3,178200,174600,170700,152800,158300,160200,158700,156900,166400,169900,173100,163500,166900,171400,175e3,174700,165200,168100,172800,18e4,18e4,179600,179e3,179200,179e3,182300,186600,189700,188200,177600,178900,183700,198400,200300,205200,198500,210600,208800,215500,202400,204500,198700,200100,198900,203e3,200100,2e5,206500,215e3,217700,215400,210700,202600,196700,201400,210700,227e3,224500,221600,212500,227300
115729,Hyde Park,California,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548300,541800,531100,541600,562700,565e3,612800,611700,62e4,611100,607800,597800,591300,591300,611300,624200,630200,638700,614500,626800,629200,627500,614500,594900,611600,621200,631700,636700,658300,652500,657300,670700,716400,721600,690800
192889,Whitney,Nevada,130,,,,,,,,,,,,,,168700,159500,157100,153e3,153800,146300,145700,142500,141900,138100,143400,141700,139100,128100,128700,123600,127e3,123800,128900,126200,123300,119100,117900,119700,118900,114600,112900,111100,114e3,111600,111800,109100,109500,108900,109200,109700,113700,110400,112e3,111600,121300,122400,121600,120100,118600,121400,123600,127200,130600,133e3,137200,141700,148400,152e3,152400,153100,152800,157100,159e3,161400,16e4,158300,163700,163800,164900,160700,162e3,161700,164300,166300,168200,171800,172800,172100,170500,171700,179e3,181e3,181500,177500,176600,177600,179300,180400,182900,184100,187400,189300,190300,190100,192400,197500,203300,206400,204800,207600,207900,212800,212400,215e3,217600,220500,223800,223300,224600,225300,233100,237600,241100,239600,242e3,244400,250700,251400,,
